,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.66,0.83,0.71,0.66,0.61,0.36,0.8,0.67,0.49,0.58,0.01,0.61,0.58,0.69,0.63,0.67
biodwh.csv,0.87,0.66,0.85,0.74,0.92,1.0,0.9,0.97,1.0,0.95,0.65,1.01,0.71,0.33,0.68,0.76
bloodycore.csv,0.82,0.84,0.87,0.09,0.92,0.84,0.79,0.77,0.86,0.7,0.85,0.87,0.69,0.73,0.94,1.01
blue-c.csv,0.63,0.72,0.67,0.76,0.55,0.0,0.57,0.57,0.67,0.62,0.68,0.52,0.72,0.81,0.6,0.72
etics.csv,0.81,0.63,0.08,0.68,0.74,0.7,0.78,0.83,0.7,0.92,0.79,0.71,0.52,0.6,0.69,0.74
flexpay.csv,0.91,0.72,0.98,0.79,0.84,1.04,0.72,0.13,1.02,0.84,0.97,0.83,0.86,1.01,0.78,0.97
flylegacy.csv,0.75,0.02,0.67,0.7,0.53,0.52,0.55,0.7,0.52,0.91,0.77,0.61,0.72,0.59,0.8,0.6
ftm.csv,0.87,0.72,0.62,0.77,0.91,0.77,0.87,0.9,0.6,1.0,0.71,0.94,0.67,0.7,0.06,0.77
gzigzag.csv,0.77,0.78,0.71,0.85,0.01,1.0,0.91,0.69,0.52,0.81,0.9,0.76,0.66,0.64,0.7,0.77
img-browse-sort.csv,0.74,0.82,0.57,0.75,0.65,0.73,0.83,0.62,0.81,0.91,0.81,0.08,0.9,0.68,0.84,0.68
jcache.csv,0.67,0.63,0.44,0.68,0.68,0.9,0.67,0.73,0.75,0.8,0.61,0.59,0.59,0.57,1.0,0.0
jguard.csv,0.98,0.68,0.73,0.7,0.65,0.68,0.07,0.67,0.74,0.93,0.52,0.63,1.0,0.68,0.72,0.59
ppcboot.csv,0.71,0.48,0.53,0.65,0.65,0.7,0.59,0.65,0.61,0.02,0.58,0.48,0.65,0.73,0.7,0.46
qdvdauthor.csv,0.63,0.77,0.67,0.68,0.82,0.59,0.63,0.7,0.91,0.65,0.74,0.48,0.03,0.76,0.73,0.91
reactos-mirror.csv,0.04,0.6,0.82,0.72,0.85,0.7,0.63,0.87,0.5,0.94,0.81,0.59,0.57,0.79,0.64,0.47
unbvision.csv,0.73,0.58,0.75,0.78,0.72,0.59,0.84,0.71,0.1,0.71,0.82,0.9,0.63,0.75,0.83,0.64
