,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.25,0.55,0.28,0.63,0.5,0.17,0.99,0.45,0.61,0.25,0.39,0.71,0.81,0.47,0.55,0.53,0.59,0.33
dspace-gsoc.csv,0.09,0.19,0.18,0.33,0.39,0.13,0.13,0.12,0.12,0.17,1.0,0.58,0.24,0.11,0.0,0.2,0.32,0.06
fbmanager.csv,0.41,0.35,1.0,0.44,0.6,0.22,0.42,0.48,0.59,0.44,0.32,0.43,0.62,0.49,0.74,0.55,0.59,0.34
fido.csv,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
freenet.csv,0.48,0.45,0.34,0.4,0.98,0.5,0.52,0.59,0.64,0.57,0.67,0.33,0.62,0.74,0.85,0.7,0.58,0.76
geogebra.csv,0.22,0.23,0.18,0.59,0.45,0.5,0.26,0.41,0.38,0.15,0.13,0.5,0.55,0.53,0.75,0.38,0.94,0.25
google-caja.csv,0.65,0.63,0.72,0.64,0.58,0.57,0.72,0.99,0.59,0.51,0.56,0.7,0.76,0.53,0.75,0.72,0.71,0.0
itext.csv,0.57,0.64,0.55,0.6,0.63,0.57,0.6,0.63,0.72,0.66,0.56,0.98,0.83,0.83,0.73,0.7,0.68,0.62
k3b.csv,0.47,0.45,0.54,0.42,0.3,0.34,0.73,0.6,0.66,1.0,0.54,0.73,0.87,0.24,0.73,0.66,0.66,0.84
megameknet.csv,0.5,0.56,0.49,0.63,0.48,0.39,0.37,0.35,0.5,0.48,0.43,0.58,0.73,0.56,0.67,0.88,0.63,0.0
myfaces.csv,0.44,0.29,0.33,0.52,0.48,0.55,0.57,0.3,0.95,0.19,0.22,0.55,0.79,0.13,0.29,0.26,0.45,0.33
onotoa.csv,0.49,0.61,0.55,0.56,0.42,0.98,0.58,0.62,0.53,0.69,0.46,0.68,0.61,0.0,0.45,0.41,0.55,0.0
paintown.csv,0.97,0.71,0.68,0.72,0.63,0.59,0.59,0.66,0.54,0.58,0.6,0.57,0.57,0.82,0.46,0.66,0.57,0.58
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.02,0.0,0.01,0.0,0.0
smartgwt.csv,0.69,0.57,0.55,0.69,0.56,0.52,0.45,0.55,0.64,0.58,0.47,0.63,0.91,0.98,0.6,0.51,0.64,0.0
sqlpower-library.csv,0.62,0.6,0.64,1.0,0.6,0.52,0.64,0.66,0.6,0.55,0.47,0.58,0.7,0.52,0.74,0.71,0.7,0.0
triplea.csv,0.56,1.0,0.42,0.69,0.65,0.48,0.48,0.64,0.64,0.56,0.44,0.52,0.61,0.63,0.28,0.6,0.67,0.71
