,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.32,0.37,0.11,0.62,0.07,0.41,0.02,0.18,0.0,0.38
fulguro.csv,0.65,0.52,0.33,0.46,0.38,0.55,0.38,0.57,0.56,0.57
fw4spl.csv,0.3,0.38,0.27,0.35,0.61,0.28,0.59,0.3,0.27,0.47
google-web-toolkit.csv,0.09,0.42,0.27,0.41,0.46,0.47,0.6,0.66,0.57,0.72
jstock.csv,0.56,0.18,0.25,0.37,0.3,0.47,0.62,0.52,0.85,0.51
ldview.csv,0.54,0.0,0.21,0.42,0.49,0.76,0.57,0.58,0.85,0.67
nuttx.csv,0.2,0.05,0.69,0.09,0.27,0.47,0.44,0.33,0.42,0.11
utgb.csv,0.06,0.47,0.37,0.25,0.73,0.0,0.66,0.21,0.18,0.21
vdsf.csv,0.63,0.4,0.19,0.49,0.35,0.59,0.18,0.54,0.24,0.76
xbrlapi.csv,0.64,0.0,0.05,0.28,0.41,0.23,0.2,0.37,0.59,0.58
