,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.42,0.88,0.08,0.27,0.0,0.84,0.02,0.16,0.14,0.77
fulguro.csv,0.48,0.61,0.44,0.69,0.77,0.32,0.46,0.67,0.6,0.3
fw4spl.csv,0.22,0.19,0.21,0.35,0.52,0.16,0.27,0.2,0.26,0.46
google-web-toolkit.csv,0.98,0.4,0.26,0.35,0.81,0.22,0.45,0.36,0.56,0.51
jstock.csv,0.62,0.2,0.08,0.33,0.1,0.19,0.48,0.48,0.14,0.77
ldview.csv,0.65,1.0,0.95,0.83,0.81,0.22,0.72,0.64,0.47,0.62
nuttx.csv,0.22,0.02,0.44,0.17,0.23,0.27,0.22,0.34,0.21,0.11
utgb.csv,0.2,0.34,0.36,0.13,0.16,0.19,0.44,0.2,0.14,0.29
vdsf.csv,0.68,0.12,0.95,0.75,0.9,0.49,0.32,0.69,0.93,0.41
xbrlapi.csv,0.35,0.0,0.0,0.13,0.55,0.14,0.16,0.28,0.51,0.24
