,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.99,0.8,0.81,0.5,0.6,0.58,0.6,0.78,0.88
massiv.csv,0.03,0.1,0.31,1.0,0.01,0.04,0.0,0.0,0.04
mesa3d.csv,0.7,0.06,0.88,0.5,0.51,0.67,0.7,0.46,0.37
ngl.csv,0.8,0.85,0.94,1.0,0.76,0.63,0.75,0.33,0.5
nutz.csv,0.72,0.72,1.0,1.0,0.61,0.75,0.76,0.81,0.33
ossim.csv,0.25,0.18,0.75,0.25,0.01,0.29,0.35,0.3,0.21
qmmp.csv,0.79,0.7,0.69,0.75,0.56,0.6,0.63,0.64,0.94
rcp-company-uibindings.csv,0.55,0.6,0.88,0.5,0.57,0.68,0.41,0.22,0.87
v8.csv,0.35,0.38,0.38,0.5,0.82,0.6,0.41,0.99,0.45
