,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.47,0.53,0.32,0.43,0.41,0.5,0.42,0.43,0.37,0.42,0.48,0.5,0.36,0.48
carabiner.csv,0.52,0.5,0.54,0.5,0.62,0.64,0.41,0.37,0.52,0.69,0.55,0.57,0.5,0.0
elvishrayrenderer.csv,0.46,0.75,0.37,0.5,0.5,0.61,0.38,0.55,0.63,0.57,0.56,0.52,0.47,0.92
fleet-simulator.csv,0.41,0.48,0.32,0.37,0.31,0.42,0.51,0.32,0.3,0.36,0.42,0.39,0.31,0.5
gmerlin.csv,0.63,0.75,0.57,0.58,0.64,0.92,0.6,0.73,0.79,0.86,0.73,0.8,0.62,0.65
gnome-jabber.csv,0.48,0.39,0.42,0.35,0.38,0.41,0.52,0.35,0.34,0.35,0.45,0.36,0.37,0.45
ipfilter.csv,0.48,0.71,0.39,0.37,0.45,0.55,0.59,0.61,0.44,0.43,0.48,0.5,0.41,0.54
irplus.csv,0.96,0.77,0.8,0.62,0.45,0.93,0.52,0.8,0.67,0.9,0.83,0.5,0.88,0.5
mevenide.csv,0.92,0.93,0.91,0.9,0.62,0.8,0.56,0.71,0.71,0.55,0.85,0.84,0.65,0.93
moving-pictures.csv,0.7,0.38,0.52,0.59,0.44,0.72,0.6,0.4,0.77,0.5,0.77,0.38,0.39,0.41
opensim4opencog.csv,0.95,0.9,0.83,0.91,0.79,0.89,0.59,0.43,0.88,0.58,0.65,0.71,0.82,0.8
rockbox.csv,0.49,0.59,0.55,0.56,0.41,0.67,0.42,0.5,0.44,0.44,0.43,0.38,0.38,0.47
ta3d.csv,0.47,0.41,0.33,0.34,0.38,0.42,0.48,0.35,0.34,0.36,0.44,0.44,0.34,0.43
xcmetadataservicestoolkit.csv,0.44,0.73,0.41,0.42,0.4,0.69,0.54,0.46,0.36,0.35,0.47,0.48,0.37,0.56
