,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.7,0.03,0.83,0.77,0.88,0.53,0.65,0.57,0.37,0.75,0.67,0.76,0.67,0.44
carabiner.csv,0.57,0.97,0.64,0.53,0.74,0.0,0.72,1.0,0.61,0.73,0.73,0.74,0.58,0.95
elvishrayrenderer.csv,0.77,0.6,0.84,0.82,0.8,0.57,0.65,0.56,1.05,0.75,0.72,0.55,0.06,0.78
fleet-simulator.csv,0.93,0.58,0.93,0.55,0.74,0.74,1.0,0.71,0.0,0.76,0.66,0.89,0.78,0.59
gmerlin.csv,0.53,0.73,0.64,0.59,0.6,0.79,0.82,0.19,0.77,0.85,0.73,0.78,0.77,0.52
gnome-jabber.csv,0.68,0.81,0.69,0.8,0.67,0.79,0.4,0.74,0.34,0.95,0.96,0.54,0.87,0.88
ipfilter.csv,0.65,0.89,0.78,0.86,0.52,0.63,1.01,0.75,1.03,0.0,0.92,0.81,0.84,0.76
irplus.csv,0.75,0.73,0.84,0.04,0.65,0.94,0.83,0.84,0.78,1.05,0.69,0.78,0.83,0.42
mevenide.csv,0.79,0.82,0.84,0.89,0.63,0.91,0.8,0.72,0.74,0.43,0.1,0.85,0.68,0.97
moving-pictures.csv,0.79,0.81,0.04,0.72,0.6,0.94,0.78,0.86,1.09,0.98,0.68,0.51,0.71,0.66
opensim4opencog.csv,0.13,0.82,0.86,0.81,0.71,0.78,0.82,0.58,0.85,0.74,0.75,0.81,0.82,0.84
rockbox.csv,0.71,0.71,0.77,0.81,0.74,0.7,0.7,0.64,0.53,0.63,0.67,0.55,0.65,0.0
ta3d.csv,0.71,0.74,0.76,0.78,0.88,0.65,0.66,0.8,0.19,0.61,0.93,0.03,0.74,0.46
xcmetadataservicestoolkit.csv,0.61,0.67,0.72,0.67,0.0,0.73,0.82,0.7,0.27,0.76,0.62,0.74,0.62,0.69
