,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.61,0.97,0.71,0.48,0.62,0.55,0.38,0.72,0.72,0.7,0.62,0.57,0.5,0.68
carabiner.csv,0.52,0.03,0.46,0.6,0.28,1.0,0.3,1.0,0.39,0.28,0.34,0.4,0.53,0.05
elvishrayrenderer.csv,0.91,0.51,0.68,0.48,0.48,0.59,0.49,0.59,0.43,0.41,0.34,0.6,0.94,0.26
fleet-simulator.csv,0.96,0.51,0.79,0.76,0.92,0.77,0.97,0.75,1.0,0.67,0.62,0.86,0.91,0.58
gmerlin.csv,0.61,0.28,0.43,0.48,0.5,0.23,0.21,0.81,0.24,0.2,0.38,0.23,0.26,0.53
gnome-jabber.csv,0.74,0.74,0.54,0.8,0.7,0.95,1.0,0.72,0.69,0.67,0.93,0.8,0.76,1.0
ipfilter.csv,0.83,0.44,0.61,0.96,0.78,0.82,0.87,0.53,0.74,1.0,0.93,0.69,0.91,0.68
irplus.csv,0.26,0.41,0.21,0.96,0.62,0.09,0.27,0.19,0.22,0.04,0.34,0.4,0.18,0.68
mevenide.csv,0.22,0.21,0.18,0.12,0.38,0.09,0.93,0.38,0.26,0.63,0.9,0.31,0.41,0.11
moving-pictures.csv,0.26,0.85,0.96,0.48,0.62,0.23,0.22,0.88,0.35,0.41,0.38,0.66,0.76,0.95
opensim4opencog.csv,0.87,0.18,0.14,0.2,0.3,0.23,0.18,0.5,0.15,0.3,0.52,0.26,0.21,0.16
rockbox.csv,0.39,0.31,0.32,0.32,0.57,0.32,0.33,0.44,0.48,0.46,0.52,0.54,0.53,1.0
ta3d.csv,0.83,0.67,0.82,0.88,0.62,0.91,0.34,0.84,0.85,0.7,1.0,0.97,0.68,0.79
xcmetadataservicestoolkit.csv,0.74,0.33,0.68,0.8,1.0,0.36,0.82,0.56,0.76,0.8,0.76,0.4,0.74,0.37
