,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.79,0.65,0.55,1.02,0.78,0.38,0.74,0.61,0.7,0.62,0.36,0.69
archive-crawler.csv,0.64,0.75,0.59,0.97,0.42,0.38,0.55,0.64,0.69,0.47,0.73,0.76
blue-c.csv,0.73,0.78,0.81,1.15,0.66,0.23,0.5,0.61,0.81,0.71,0.48,0.92
dynalloy.csv,0.89,0.34,0.83,1.04,0.87,0.57,0.77,0.89,0.65,0.7,0.57,0.83
jcae.csv,0.58,0.8,0.23,0.99,0.66,0.42,0.72,0.66,0.73,0.63,0.69,0.63
kmatplot.csv,0.37,0.74,0.6,0.94,1.0,0.56,0.74,0.77,0.74,0.59,0.74,0.97
mscore.csv,0.8,0.96,0.97,1.08,0.42,0.38,0.39,0.59,0.68,0.76,0.97,0.85
nosleepsoftware.csv,0.93,1.0,1.0,0.38,1.0,0.97,0.74,0.93,0.98,0.81,1.01,0.98
openmalaria.csv,0.53,0.77,0.92,0.79,0.4,0.44,0.59,0.36,0.63,0.7,0.97,0.71
popeye-chess.csv,0.52,0.63,0.62,0.91,0.41,0.49,0.53,0.5,0.54,0.55,0.81,0.65
riff-evolve.csv,0.5,0.56,0.71,1.06,0.41,0.63,0.62,0.68,0.4,0.68,0.61,0.57
virtuoso.csv,0.72,0.97,0.99,1.0,0.42,1.0,0.79,0.94,0.94,0.83,0.85,0.56
