,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.51,0.48,0.1,0.53,0.69,0.0,0.05,0.0,0.58,0.35,0.13,0.58,0.0,0.37,0.17,0.0,0.05
fontforge.csv,0.38,0.6,0.0,0.0,0.05,0.66,0.24,0.71,0.41,0.0,0.61,0.4,0.6,0.54,0.13,0.05,0.5,0.24
glas.csv,0.39,0.51,0.49,0.27,0.17,0.64,0.77,0.61,0.63,0.59,0.54,0.54,0.59,0.7,0.52,0.55,0.58,0.61
gmerlin.csv,0.0,0.27,0.62,0.32,0.0,0.6,0.09,0.0,0.63,0.0,0.6,0.64,0.13,0.67,0.05,0.0,0.55,0.45
hannosset.csv,0.53,0.22,0.64,0.19,0.59,0.42,0.84,0.49,0.52,0.42,0.32,0.48,0.14,0.17,0.94,0.4,0.28,0.49
hatari.csv,0.48,0.57,0.76,0.54,0.17,0.64,0.62,0.24,0.13,0.45,0.65,0.27,0.44,0.46,0.55,0.05,0.49,0.62
jaolt.csv,0.63,0.49,0.39,0.5,0.49,0.25,0.95,0.59,0.7,0.35,0.77,0.48,0.61,0.1,0.2,0.17,0.41,0.25
jcl.csv,0.68,0.63,0.64,0.47,0.73,0.6,0.71,0.61,0.57,0.48,0.65,0.26,0.57,0.1,0.71,0.59,0.59,0.59
ltp.csv,0.36,0.56,0.36,0.66,0.72,0.59,0.0,0.52,0.43,0.61,0.65,0.57,0.54,0.44,0.27,0.55,0.22,0.58
mia.csv,0.49,0.27,0.48,0.48,0.07,0.3,0.88,0.69,0.42,0.09,0.49,0.59,0.25,0.06,0.0,0.25,0.48,0.33
net-snmp.csv,0.72,0.63,0.61,0.52,0.53,0.57,0.75,0.0,0.3,0.51,0.55,0.67,0.53,0.37,0.62,0.32,0.49,0.33
opde.csv,0.0,0.5,0.0,0.48,0.0,0.56,0.89,0.6,0.6,0.0,0.58,0.09,0.54,0.13,0.35,0.46,0.37,0.32
oppna-program-hsatools.csv,0.61,0.66,0.64,0.0,0.67,0.55,0.51,0.51,0.34,0.21,0.85,0.05,0.51,0.28,0.54,0.58,0.57,0.45
powerfolder-.csv,0.65,0.69,0.61,0.54,0.39,0.34,0.89,0.59,0.67,0.52,0.63,0.33,0.61,0.45,0.37,0.57,0.6,0.44
qlc.csv,0.0,0.7,0.0,0.59,0.27,0.6,0.84,0.0,0.7,0.62,0.44,0.57,0.46,0.34,0.47,0.59,0.0,0.59
quantlib.csv,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.67
tcl.csv,0.46,0.13,0.37,0.09,0.68,0.17,0.24,0.0,0.43,0.68,0.57,0.09,0.0,0.0,0.23,0.0,0.31,0.37
