,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.38,0.54,0.5,0.73,0.56,0.0,1.0,0.0,0.52,0.97,0.12,0.8,0.0,0.11,0.4,0.0,0.1
fontforge.csv,0.42,0.34,0.43,0.36,0.7,0.5,0.02,0.65,0.14,0.49,0.89,0.09,0.8,0.41,0.08,0.12,0.34,0.2
glas.csv,0.45,0.32,0.59,0.21,0.68,0.46,0.03,0.48,0.16,0.52,0.83,0.09,0.74,0.52,0.07,0.12,0.35,0.24
gmerlin.csv,0.0,0.29,0.51,0.34,0.0,0.44,0.02,0.0,0.16,0.0,0.84,0.12,0.72,0.48,0.08,0.0,0.44,0.21
hannosset.csv,0.44,0.27,0.64,0.36,0.72,0.43,0.04,0.5,0.12,0.43,0.88,0.17,0.64,0.62,0.27,0.16,0.29,0.26
hatari.csv,0.42,0.33,0.71,0.35,0.69,0.46,0.02,0.42,0.13,0.51,0.9,0.09,0.73,0.43,0.09,0.12,0.31,0.24
jaolt.csv,0.52,0.47,0.77,0.34,0.79,0.54,0.08,0.56,0.23,0.5,0.96,0.08,0.79,0.43,0.1,0.29,0.31,0.19
jcl.csv,0.52,0.38,0.5,0.42,0.78,0.48,0.03,0.48,0.14,0.44,0.89,0.11,0.75,0.43,0.12,0.21,0.41,0.22
ltp.csv,0.52,0.3,0.44,0.42,0.8,0.44,0.0,0.52,0.11,0.57,0.9,0.12,0.71,0.37,0.09,0.12,0.33,0.22
mia.csv,0.53,0.88,0.5,0.32,0.47,0.52,0.05,0.53,0.1,0.48,0.98,0.2,0.88,0.4,0.0,0.12,0.47,0.19
net-snmp.csv,0.61,0.39,0.55,0.34,0.68,0.42,0.03,0.44,0.14,0.47,0.82,0.12,0.7,0.34,0.1,0.08,0.36,0.27
opde.csv,0.45,0.33,0.45,0.55,0.69,0.42,0.05,0.48,0.15,0.0,0.9,0.09,0.71,0.5,0.06,0.1,0.3,0.16
oppna-program-hsatools.csv,0.49,0.5,0.5,0.36,0.75,0.55,0.02,0.46,0.13,0.49,0.99,0.09,0.77,0.45,0.19,0.13,0.35,0.16
powerfolder-.csv,0.51,0.54,0.61,0.35,0.68,0.39,0.05,0.48,0.19,0.47,0.86,0.08,0.79,0.48,0.11,0.14,0.38,0.19
qlc.csv,0.0,0.38,0.0,0.38,0.6,0.58,0.04,0.0,0.23,0.54,0.95,0.09,0.84,0.46,0.07,0.2,0.0,0.3
quantlib.csv,0.45,0.0,1.0,0.0,0.69,0.0,0.0,0.44,0.0,0.49,0.0,1.0,0.0,0.0,0.0,0.12,0.33,0.33
tcl.csv,0.42,0.3,0.46,0.36,0.76,0.41,0.02,0.0,0.15,0.7,0.85,0.08,0.72,0.4,0.07,0.0,0.24,0.2
