,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,1.0,0.62,0.63,0.92,0.81,0.48,1.12,0.96,1.0,0.68,0.7,0.89,0.56,1.0,0.71,0.86,1.0,0.96
fontforge.csv,0.9,0.75,1.0,1.0,0.99,0.57,0.94,0.41,0.88,1.0,0.53,0.89,0.56,0.78,0.97,0.99,0.83,0.94
glas.csv,0.89,0.83,0.61,0.92,0.96,0.68,0.6,0.71,0.65,0.72,0.7,0.76,0.73,0.53,0.8,0.78,0.74,0.63
gmerlin.csv,1.0,0.94,0.61,0.93,1.0,0.72,0.98,1.0,0.69,1.0,0.72,0.63,0.97,0.62,0.99,1.0,0.58,0.71
hannosset.csv,0.8,0.83,0.47,0.85,0.74,0.71,0.48,0.65,0.78,0.79,0.74,0.6,0.89,0.87,0.23,0.69,0.95,0.63
hatari.csv,0.85,0.78,0.35,0.76,0.96,0.68,0.75,0.94,0.98,0.86,0.49,0.93,0.87,0.85,0.79,0.99,0.74,0.62
jaolt.csv,0.6,0.59,0.66,0.73,0.61,0.8,0.21,0.55,0.47,0.75,0.28,0.82,0.56,0.92,0.84,0.86,0.75,0.82
jcl.csv,0.66,0.56,0.66,0.65,0.57,0.59,0.67,0.64,0.74,0.82,0.52,0.8,0.63,0.92,0.58,0.52,0.58,0.68
ltp.csv,0.72,0.76,0.9,0.68,0.48,0.7,1.27,0.61,0.81,0.6,0.49,0.59,0.78,0.75,0.93,0.73,0.83,0.75
mia.csv,0.63,0.77,0.66,0.84,0.95,0.76,0.4,0.6,0.84,0.98,0.56,0.5,0.8,0.95,1.0,0.81,0.61,0.78
net-snmp.csv,0.46,0.55,0.56,0.8,0.75,0.72,0.62,1.0,0.92,0.76,0.72,0.71,0.74,0.93,0.61,0.83,0.67,0.74
opde.csv,1.0,0.66,1.0,0.59,1.0,0.69,0.38,0.75,0.72,1.0,0.53,0.98,0.75,0.89,0.94,0.86,0.77,0.8
oppna-program-hsatools.csv,0.72,0.45,0.66,1.0,0.68,0.57,0.83,0.82,0.91,0.95,0.17,0.99,0.63,0.78,0.53,0.72,0.67,0.81
powerfolder-.csv,0.66,0.4,0.51,0.78,0.75,0.77,0.37,0.64,0.55,0.77,0.61,0.93,0.56,0.66,0.71,0.79,0.61,0.73
qlc.csv,1.0,0.62,1.0,0.7,0.84,0.51,0.48,1.0,0.47,0.68,0.61,0.73,0.61,0.74,0.79,0.53,1.0,0.54
quantlib.csv,1.0,1.0,0.97,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,0.48
tcl.csv,0.86,0.97,0.89,0.98,0.62,0.96,0.94,1.0,0.87,0.43,0.78,0.98,1.0,1.0,0.96,1.0,0.83,0.9
