,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.77,0.33,0.18,0.63
columba.csv,0.86,0.9,0.0,0.66
emftriple.csv,0.09,0.16,1.0,0.23
gpsmid.csv,0.82,0.73,0.64,0.69
