,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.19,0.48,0.05,0.59
columba.csv,0.13,0.74,0.0,0.57
emftriple.csv,0.1,0.23,0.51,0.28
gpsmid.csv,0.09,0.78,0.13,0.52
