,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,buddata-ebxml-registry.csv
anaxagora.csv,0.56,0.45,0.61,0.54,0.53,0.85,0.41,0.75,0.55
buddata-ebxml-registry.csv,1.0,1.0,1.03,0.88,0.85,0.95,0.92,0.88,0.06
continuum-ide.csv,1.07,1.18,0.92,0.7,0.86,0.27,0.91,0.82,0.69
gtad.csv,0.18,0.86,0.93,0.63,0.63,0.73,0.82,0.69,0.82
htmlunit.csv,0.37,0.76,0.68,0.48,0.51,0.67,0.7,0.61,0.52
jsr308-langtools.csv,0.92,1.0,0.76,1.0,0.12,0.97,0.89,1.0,1.0
kaffeine.csv,0.96,0.15,1.0,0.53,1.0,0.87,0.59,0.78,0.57
stemkit.csv,1.01,0.61,0.53,0.67,0.54,0.77,0.92,0.32,0.85
taokgame.csv,0.58,0.9,0.13,0.97,0.84,0.8,0.8,0.84,0.81
