,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.14,0.97,0.82,1.0,0.99,0.77,0.64
fluent-nhibernate.csv,0.77,0.49,0.7,0.8,0.54,0.21,0.7
geogebra.csv,0.83,0.54,0.58,0.61,0.42,0.28,0.54
hibernate.csv,0.52,0.49,0.52,0.78,0.51,0.86,0.41
ninject.csv,0.72,0.5,0.67,0.13,0.59,0.71,0.51
poormans.csv,1.0,0.32,0.7,0.4,0.41,0.42,0.84
uface.csv,0.74,0.71,0.57,0.56,0.65,0.71,0.08
