,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.17,0.44,0.15,0.38,0.37,0.34,0.35
fluent-nhibernate.csv,0.15,0.15,0.15,0.23,0.19,0.16,0.17
geogebra.csv,0.19,0.12,0.16,0.12,0.16,0.14,0.15
hibernate.csv,0.24,0.2,0.2,0.35,0.21,0.44,0.23
ninject.csv,0.21,0.23,0.2,0.15,0.22,0.3,0.18
poormans.csv,0.24,0.14,0.13,0.08,0.15,0.14,0.13
uface.csv,0.26,0.3,0.21,0.25,0.29,0.32,0.23
