,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.49,0.53,1.08,0.51,0.76,0.34,0.69,0.85,0.85,0.4,0.33,0.55,0.61,0.66,0.69,0.73,0.57,0.61,0.54
auber.csv,0.98,0.79,0.99,0.6,0.84,1.0,0.86,0.92,0.78,0.8,1.08,0.59,0.32,0.63,1.01,0.87,0.93,0.64,0.66
cortex-vfx.csv,0.45,0.63,1.08,0.55,0.62,0.32,0.84,0.81,0.76,0.51,0.78,0.55,0.56,0.5,0.72,0.61,0.86,0.61,0.57
empserver.csv,0.52,0.73,0.97,0.45,0.73,0.37,0.47,0.76,0.78,0.59,0.55,0.65,0.64,0.73,0.86,0.9,0.79,0.66,0.51
flylegacy.csv,0.58,0.43,1.36,0.52,0.74,0.33,0.94,0.69,0.69,0.82,0.66,0.87,0.5,0.63,1.06,1.0,0.62,0.84,0.88
galaxium.csv,0.44,0.8,1.18,0.57,0.72,0.32,0.79,0.64,0.47,0.42,0.37,0.28,0.61,0.61,0.48,0.72,0.77,0.78,0.59
growl-for-windows.csv,1.0,1.0,1.0,0.79,1.0,1.0,0.92,0.61,0.63,0.72,1.0,0.61,0.82,0.99,0.16,0.79,0.33,0.74,0.82
k3d.csv,0.82,0.85,0.01,0.8,0.25,1.01,0.89,0.68,1.03,0.82,1.0,0.67,0.66,0.91,0.91,0.86,0.98,0.87,0.6
libarchive.csv,0.69,0.84,0.8,0.86,0.76,0.58,0.75,0.75,1.0,0.56,0.61,0.65,0.61,0.86,0.02,0.87,0.72,0.81,0.44
linux-ntfs.csv,0.48,0.67,0.71,0.69,0.81,0.83,0.76,0.86,0.86,0.85,0.67,0.61,0.53,0.79,1.06,0.47,0.93,0.76,0.58
m-a-d-n-e-s-s.csv,0.46,0.66,1.11,0.68,0.81,0.35,0.66,1.0,0.9,0.36,0.54,0.72,0.75,0.75,0.84,0.53,0.89,0.9,0.42
novembre.csv,0.51,0.77,1.02,0.33,0.94,0.19,0.8,1.0,0.89,0.88,0.5,0.86,0.9,0.96,0.97,0.71,0.94,0.83,0.65
qtwin.csv,0.94,0.91,1.0,0.87,0.77,0.09,1.0,0.93,0.89,0.88,0.87,0.97,0.71,0.66,0.88,0.69,0.95,0.99,1.0
st-filteredstatistics.csv,0.83,0.92,0.97,1.0,0.9,0.68,0.97,0.98,0.37,0.92,0.89,0.79,0.59,0.95,1.01,0.73,0.95,0.7,0.87
tweetsharp.csv,0.94,0.9,1.05,0.79,0.66,1.11,0.89,0.93,0.86,0.79,0.92,0.78,0.85,0.72,1.05,0.93,0.63,0.37,0.88
unladen-swallow.csv,0.6,0.72,1.01,0.7,0.77,0.55,0.82,0.69,0.53,0.74,0.58,0.6,0.87,0.63,0.83,0.92,0.75,0.81,0.61
wishmaster.csv,0.73,0.78,0.22,0.78,0.96,0.35,0.85,0.35,0.95,0.53,0.44,0.72,0.84,0.71,0.55,0.85,0.67,0.97,0.86
