,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.38,0.0,0.0,0.99,0.09,0.0,0.05
chrysalis.csv,0.65,0.41,0.35,0.55,0.34,0.61,0.91
jahshaka.csv,0.36,1.0,0.23,0.44,0.0,0.26,0.09
jam-daq.csv,0.59,0.4,0.43,0.63,0.62,1.0,0.13
jatlas.csv,0.12,0.31,0.18,0.06,1.0,0.11,0.0
jedit.csv,0.97,0.83,0.5,0.76,0.43,0.57,0.64
open-media-library.csv,0.65,0.4,0.98,0.47,0.73,0.62,0.3
