,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.76,0.38,1.0,0.51,0.46,0.44,0.39,0.21,0.47,0.61,0.61,0.72
dsworkbench.csv,1.0,0.19,0.09,0.28,0.17,0.22,0.27,0.08,0.32,0.0,0.43,0.5
gogoego.csv,0.43,0.94,0.09,0.35,0.34,0.22,0.42,0.35,0.43,0.43,0.31,0.98
jpaul.csv,0.44,0.23,0.32,0.97,0.39,0.1,0.33,0.0,0.48,0.22,0.07,0.1
loki-lib.csv,0.65,0.43,0.41,0.61,0.28,0.47,0.42,0.12,0.52,0.56,0.98,0.92
motu.csv,0.45,0.37,0.18,0.59,0.18,0.35,0.96,0.17,0.46,0.31,0.24,0.22
mp-rechnungs-und-kundenverwaltung.csv,0.61,0.34,0.29,0.44,0.17,0.32,0.27,0.0,0.97,0.51,0.47,0.96
rtrt-on-gpu.csv,0.65,0.33,0.41,0.23,0.36,0.31,0.28,0.95,0.39,0.63,0.44,0.62
scenemonitor.csv,0.59,0.36,0.6,0.49,0.98,0.49,0.34,0.29,0.5,0.67,0.48,0.78
xstore.csv,0.6,0.42,0.33,0.42,0.44,0.54,0.59,0.35,0.45,0.97,0.58,0.6
yarp0.csv,0.45,0.32,0.64,0.05,0.33,0.97,0.17,0.31,0.46,0.4,0.48,0.55
zemljanka.csv,0.87,0.37,0.93,0.43,0.54,0.5,0.37,0.3,0.48,0.7,0.44,1.0
