,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.12,0.5,0.14,0.0,0.48,0.06,0.34,0.42,0.2,0.04,0.35,0.16,0.46,0.15,0.89,0.55,0.0,0.6,0.51,0.1
baadengine.csv,0.83,0.11,0.46,0.02,0.33,0.47,0.41,0.65,0.21,0.11,0.35,0.22,0.51,0.32,0.9,0.56,0.05,0.77,0.87,0.07
biopax.csv,0.86,0.13,0.99,0.02,0.46,0.48,0.4,0.59,0.21,0.11,0.23,0.22,0.6,0.24,0.83,0.65,0.05,0.87,0.88,0.05
crux-framework.csv,0.03,0.0,0.2,0.06,0.45,0.06,0.29,0.21,0.0,0.17,0.31,0.15,0.28,0.0,0.79,0.32,0.0,0.13,0.29,0.33
dataobjectsdotnet.csv,0.67,0.09,0.86,0.05,0.21,0.61,0.42,0.58,0.25,0.13,0.23,0.21,0.56,0.52,0.0,0.56,0.07,0.62,0.87,0.08
exl.csv,0.32,0.12,0.85,0.03,0.48,0.45,0.4,0.5,0.23,0.16,0.16,0.19,0.51,0.15,0.28,0.17,0.12,0.65,0.86,0.07
gdis.csv,0.65,0.07,0.84,0.0,0.31,0.52,0.36,0.38,0.2,0.11,0.17,0.18,0.41,0.26,0.9,0.54,0.0,0.72,0.86,0.06
gogoego.csv,0.54,0.0,0.37,0.04,0.35,0.61,0.41,0.64,0.23,0.12,0.29,0.16,0.48,0.28,0.78,0.32,0.11,0.55,0.75,0.03
httpcontentparser.csv,0.36,0.05,0.48,0.0,0.06,0.12,0.37,0.59,0.42,0.13,0.24,0.21,0.4,0.31,0.0,0.42,0.07,0.71,0.58,0.08
impala.csv,0.26,0.14,0.76,0.04,0.43,0.32,0.29,0.22,0.21,0.1,0.18,0.35,0.49,0.16,0.37,0.43,0.05,0.7,0.77,0.05
jgameai.csv,0.35,0.35,0.05,0.0,0.49,0.19,0.13,0.16,0.03,0.0,0.07,0.1,0.06,0.0,0.43,0.22,0.0,0.15,0.41,0.0
loki-lib.csv,0.53,0.15,0.72,0.03,0.41,0.48,0.34,0.16,0.19,0.1,0.14,0.25,0.37,0.24,0.92,0.66,0.08,0.26,0.13,0.05
snakeyaml.csv,0.43,0.0,0.34,0.12,0.13,0.38,0.2,0.29,0.13,0.17,0.43,0.11,0.26,0.14,0.24,0.0,0.08,0.18,0.47,0.05
tart.csv,0.63,0.09,0.65,0.08,0.25,0.23,0.32,0.54,0.31,0.34,0.26,0.16,0.5,0.15,0.21,0.06,0.07,0.57,0.75,0.03
vars-redux.csv,0.5,0.1,0.45,0.04,0.21,0.5,0.41,0.68,0.25,0.12,0.27,0.21,0.43,0.32,0.59,0.17,0.08,0.65,0.83,0.04
werx.csv,0.85,0.15,0.98,0.02,0.45,0.47,0.37,0.55,0.18,0.1,0.23,0.21,0.6,0.23,0.89,0.56,0.05,0.79,0.62,0.05
xbg.csv,0.69,0.09,0.02,0.0,0.0,0.3,0.16,0.08,0.08,0.0,0.14,0.21,0.26,0.47,0.26,0.31,0.0,0.21,0.22,0.0
xqilla.csv,0.06,0.0,0.7,0.1,0.31,0.06,0.3,0.44,0.18,0.14,0.22,0.11,0.37,0.0,0.28,0.11,0.5,0.24,0.14,0.04
zealos.csv,0.26,0.14,0.08,0.0,0.29,0.59,0.18,0.14,0.14,0.0,0.0,0.0,0.06,0.0,0.54,0.06,0.0,0.0,0.05,0.05
