,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.61,0.7,0.4,0.47,0.6,0.5,0.6,0.61,0.37,0.0,0.4,0.52,0.48,0.6,0.41,0.47
bullet.csv,0.6,0.56,0.38,0.58,0.11,0.72,0.58,0.47,0.38,0.0,0.21,0.41,0.58,0.1,0.36,0.55
customwars.csv,0.53,0.47,0.22,0.38,0.31,0.57,0.48,0.31,0.81,0.0,0.5,0.46,0.62,0.56,0.35,0.54
dvd-create.csv,0.54,0.64,0.57,0.16,0.81,0.61,0.63,0.55,0.57,0.1,0.27,0.56,0.58,0.49,0.47,0.6
gbif-indexingtoolkit.csv,0.58,0.54,0.49,0.05,0.38,0.41,0.53,0.73,0.4,0.0,0.54,0.42,0.0,0.55,0.36,0.13
go.csv,0.64,0.72,0.48,0.29,0.51,0.4,0.72,0.59,0.36,0.0,0.61,0.61,0.61,0.56,0.7,0.65
growl-for-windows.csv,0.66,0.0,0.29,0.0,0.0,0.01,0.73,0.52,0.0,0.0,0.24,0.46,0.49,0.15,0.7,0.19
gss.csv,0.66,0.7,0.45,0.36,0.6,0.65,0.71,0.63,0.9,0.0,0.37,0.58,0.72,0.57,0.52,0.65
kwave.csv,0.74,0.0,0.64,0.0,0.0,0.6,0.27,0.54,0.49,0.29,0.49,0.46,0.67,0.57,0.43,0.0
libarchive.csv,0.52,0.67,0.6,0.19,0.62,0.64,0.69,0.09,0.8,0.09,0.21,0.17,0.21,0.44,0.61,0.71
linux-ntfs.csv,0.59,0.55,0.46,0.71,0.66,0.68,0.42,0.55,0.2,0.36,0.63,0.46,0.71,0.71,0.38,0.61
lsb.csv,0.68,0.52,0.34,0.72,0.48,0.65,0.56,0.49,0.78,0.0,0.4,0.49,0.35,0.59,0.62,0.62
mpgravity.csv,0.51,0.68,0.49,0.33,0.47,0.5,0.13,0.24,0.0,0.81,0.0,0.4,0.0,0.27,0.24,0.42
qcad2.csv,0.48,0.52,0.29,0.33,0.39,0.52,0.81,0.47,0.82,0.6,0.49,0.59,0.75,0.63,0.58,0.67
qtwin.csv,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.47,0.98,0.2,0.33,0.36,0.2,0.39,0.07,0.0
xinity.csv,0.35,0.0,0.42,0.0,0.23,0.42,0.42,0.47,0.19,0.0,0.5,0.73,0.54,0.36,0.61,0.05
