,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.99,0.57,0.81,0.62,0.8,0.6,0.58,0.41,0.82,0.94,0.54,0.92,0.58,0.97,1.0,0.53,0.72
blogentis.csv,0.82,0.52,0.61,0.52,0.48,0.8,0.53,0.99,0.64,0.36,0.51,0.64,0.34,0.41,0.94,0.49,0.39
bochs.csv,0.51,0.32,0.45,0.52,0.42,0.47,0.45,0.37,0.65,0.57,0.36,0.42,0.44,0.44,0.58,0.38,0.59
galaxium.csv,0.42,0.4,0.43,0.5,0.53,0.89,0.62,0.98,0.54,0.37,0.42,0.48,0.3,0.49,0.57,0.5,0.37
gisgraphy.csv,0.94,0.6,0.62,0.66,0.67,0.58,0.75,0.36,0.99,0.67,0.47,0.83,0.89,0.62,0.99,0.45,0.69
haphazard.csv,0.51,0.32,0.64,0.52,0.46,0.68,0.93,0.91,0.71,0.54,0.88,0.45,0.36,0.47,0.61,0.7,0.46
ipfire-wall.csv,0.47,0.0,0.47,0.63,0.82,0.95,0.38,0.98,0.55,0.35,0.44,0.47,0.41,0.94,0.42,0.48,0.32
jmri.csv,0.9,0.35,0.59,0.54,0.78,0.56,0.4,0.4,0.93,0.62,0.37,0.67,0.59,0.79,0.84,0.46,0.69
jvcl.csv,0.67,0.68,0.6,0.74,0.8,0.94,0.56,0.74,0.77,0.65,0.53,0.74,0.61,0.89,0.55,0.53,0.74
kaffeine.csv,0.34,0.3,0.39,0.39,0.36,0.44,0.33,0.36,0.36,0.32,0.36,0.35,0.27,0.35,0.27,0.36,0.31
m-a-d-n-e-s-s.csv,0.51,0.4,0.86,0.75,0.8,0.91,0.49,0.98,0.89,0.55,0.78,0.54,0.47,0.94,0.47,0.88,0.9
magicwars.csv,0.51,0.3,0.44,0.38,0.4,0.4,0.37,0.74,0.56,0.35,0.36,0.39,0.31,0.36,0.29,0.39,0.3
nh3d.csv,0.83,0.0,0.44,0.85,0.4,0.41,0.38,0.35,0.64,0.35,0.36,0.39,0.31,0.35,0.56,0.39,0.31
opentibia.csv,0.46,0.76,0.44,0.63,0.62,0.46,0.74,0.47,0.99,0.93,0.37,0.66,0.52,0.56,0.88,0.43,0.5
sarasvati.csv,0.47,0.43,0.46,0.61,0.88,0.67,0.56,0.77,0.95,0.45,0.48,0.93,0.5,0.42,0.39,0.56,0.48
smartgwt.csv,0.67,0.96,0.43,0.64,0.43,0.78,0.66,0.45,0.46,0.66,0.38,0.48,0.5,0.6,0.37,0.38,0.35
tweetsharp.csv,0.8,0.95,0.6,0.55,0.79,0.5,0.6,0.37,0.88,0.75,0.47,0.62,0.78,0.58,0.95,0.51,0.54
