,lazarus-ccr.csv,ikvm.csv,ontomorphtab.csv,xuggle.csv,micomt.csv,les-indemodables.csv,tradelink.csv,elateportal.csv,metacosm.csv
elateportal.csv,0.54,0.4,0.1,0.34,0.47,0.34,0.36,0.0,0.19
ikvm.csv,0.39,0.0,0.14,0.21,0.15,0.03,0.39,0.0,0.16
lazarus-ccr.csv,0.04,0.43,0.48,0.85,0.51,0.46,0.65,0.67,0.52
les-indemodables.csv,0.89,0.5,0.14,0.36,0.49,0.0,0.39,0.17,0.13
metacosm.csv,0.32,0.17,0.19,0.19,0.25,0.34,0.18,0.0,0.0
micomt.csv,0.82,0.57,0.67,0.11,0.0,0.49,0.34,0.5,0.58
ontomorphtab.csv,0.29,0.33,0.05,0.3,0.54,0.54,0.21,0.17,0.58
tradelink.csv,0.18,0.23,0.1,0.05,0.22,0.12,0.0,0.0,0.1
xuggle.csv,0.57,0.53,0.71,0.01,0.64,0.98,0.7,0.83,0.68
