,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.24,0.09,0.33,0.57,0.12,0.17,0.0,0.14,0.16,0.38
flylegacy.csv,0.64,0.39,0.67,0.6,0.58,0.74,0.44,0.36,0.98,0.82
ftm.csv,0.16,0.12,0.17,0.26,0.08,0.07,0.16,0.23,0.72,0.15
jcache.csv,0.88,0.73,0.94,0.43,0.45,0.59,0.32,0.86,0.31,0.91
lphant.csv,1.0,0.94,0.87,0.71,0.97,0.57,0.64,0.68,0.95,0.88
minig.csv,0.56,0.91,0.75,0.76,0.55,0.74,0.56,1.0,0.1,0.5
mob-sen-plat.csv,0.92,0.82,0.87,0.54,0.8,0.83,0.6,0.77,0.7,0.56
raygina.csv,0.76,0.0,0.56,0.64,0.25,0.35,0.4,0.82,0.11,0.38
upp-mirror.csv,0.44,0.06,0.62,0.53,0.75,0.37,0.32,0.18,0.44,0.24
yarp.csv,0.24,0.06,0.29,0.09,0.0,0.39,0.6,0.18,0.02,0.26
