,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.79,0.92,0.78,0.49,0.89,0.84,1.0,0.87,0.85,0.62
flylegacy.csv,0.72,0.62,0.43,0.62,0.8,0.96,0.63,0.73,0.97,0.97
ftm.csv,0.84,0.88,0.83,0.75,0.92,0.94,0.85,0.78,0.46,0.85
jcache.csv,0.71,0.48,0.68,0.73,0.75,0.55,0.75,0.92,0.73,0.19
lphant.csv,0.95,0.6,0.87,0.69,0.81,0.52,0.68,0.42,0.93,0.34
minig.csv,0.73,0.9,0.9,0.85,0.86,0.35,0.77,1.0,0.91,0.51
mob-sen-plat.csv,0.73,0.31,0.78,0.7,0.67,0.8,0.6,0.59,0.71,0.54
raygina.csv,0.33,1.0,0.7,0.7,0.79,0.66,0.66,0.81,0.89,0.62
upp-mirror.csv,0.69,0.94,0.59,0.53,0.44,0.69,0.72,0.84,0.58,0.77
yarp.csv,0.76,0.94,0.75,0.93,1.0,0.78,0.51,0.85,0.98,0.75
