,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.3,0.15,0.45,0.4,0.21,0.25,0.0,0.21,0.25,0.53
flylegacy.csv,0.47,0.53,0.76,0.28,0.57,0.44,0.47,0.38,0.63,0.55
ftm.csv,0.28,0.22,0.29,0.28,0.14,0.12,0.24,0.34,0.67,0.25
jcache.csv,0.57,0.74,0.86,0.22,0.51,0.53,0.36,0.54,0.39,0.86
lphant.csv,0.55,0.82,0.8,0.27,0.78,0.55,0.51,0.65,0.63,0.78
minig.csv,0.44,0.74,0.73,0.24,0.54,0.69,0.44,0.57,0.15,0.62
mob-sen-plat.csv,0.58,0.83,0.81,0.24,0.72,0.52,0.53,0.6,0.57,0.58
raygina.csv,0.7,0.0,0.64,0.26,0.36,0.44,0.44,0.55,0.18,0.53
upp-mirror.csv,0.42,0.11,0.7,0.36,0.76,0.4,0.38,0.25,0.55,0.36
yarp.csv,0.35,0.11,0.42,0.09,0.0,0.35,0.58,0.24,0.03,0.37
