,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.21,0.15,0.41,0.23,0.15,0.13,0.0,0.09,0.14,0.05
flylegacy.csv,0.63,0.15,0.27,0.47,0.68,0.92,0.29,0.36,0.97,0.95
ftm.csv,0.0,0.0,0.05,0.11,0.07,0.03,0.13,0.06,0.37,0.02
jcache.csv,0.7,0.4,0.68,0.45,0.51,0.37,0.32,0.91,0.24,0.17
lphant.csv,0.95,0.6,0.86,0.63,0.8,0.29,0.58,0.27,0.93,0.32
minig.csv,0.58,0.9,0.86,0.82,0.73,0.24,0.63,1.0,0.15,0.1
mob-sen-plat.csv,0.72,0.25,0.77,0.53,0.63,0.78,0.45,0.55,0.65,0.32
raygina.csv,0.23,0.0,0.55,0.61,0.24,0.13,0.26,0.79,0.11,0.05
upp-mirror.csv,0.4,0.05,0.45,0.25,0.37,0.28,0.24,0.18,0.15,0.07
yarp.csv,0.07,0.0,0.23,0.15,0.05,0.48,0.32,0.24,0.03,0.12
