,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.92,0.87,0.86,0.73,0.62,0.9,0.8,0.84,0.85,0.93,0.89,0.97,0.9,0.83,0.89,0.73,0.98,0.96
autofac.csv,0.47,0.34,0.4,0.52,0.62,0.51,0.54,0.42,0.45,0.45,0.43,0.38,0.41,0.52,0.59,0.39,0.4,0.52
azureus.csv,0.92,0.88,0.55,0.88,0.8,0.92,0.86,0.94,0.88,0.8,0.8,0.69,0.92,0.67,0.88,0.5,0.76,0.86
dsworkbench.csv,0.5,0.65,0.42,0.75,0.83,0.8,0.88,0.93,0.83,0.81,0.5,0.53,0.5,0.67,0.67,0.86,0.97,0.94
forester-atv.csv,0.92,0.54,0.83,0.75,0.0,0.83,0.5,0.8,0.5,0.9,0.0,0.93,0.92,0.0,0.5,0.0,0.96,0.89
freelords.csv,0.43,0.47,0.4,0.52,0.54,0.43,0.42,0.46,0.63,0.45,0.47,0.43,0.46,0.44,0.64,0.4,0.47,0.61
gabel.csv,0.0,0.0,0.0,0.0,0.5,0.67,0.0,0.75,0.0,0.88,0.0,0.75,0.67,0.5,0.0,0.0,0.86,0.0
gephex.csv,0.75,0.41,0.42,0.37,0.65,0.46,0.48,0.44,0.55,0.39,0.48,0.61,0.47,0.5,0.42,0.48,0.52,0.53
google-collections.csv,0.39,0.35,0.36,0.32,0.44,0.38,0.45,0.4,0.31,0.46,0.37,0.39,0.38,0.45,0.41,0.35,0.39,0.4
javaprofiler.csv,0.56,0.38,0.5,0.41,0.52,0.39,0.58,0.53,0.52,0.51,0.41,0.47,0.53,0.44,0.51,0.41,0.47,0.49
jpaul.csv,0.6,0.55,0.61,0.82,0.75,0.92,0.65,0.62,0.73,0.47,0.71,0.73,0.71,0.9,0.67,0.5,0.79,0.86
mycila.csv,0.89,0.86,0.83,0.75,0.0,0.83,0.88,0.88,0.91,0.0,0.9,0.75,0.95,0.88,0.94,0.67,0.97,0.94
neodatis-odb.csv,0.76,0.54,0.62,0.92,0.96,0.96,0.94,0.75,0.62,0.63,0.83,0.8,0.96,0.86,0.89,0.79,0.8,0.69
octet.csv,0.67,0.44,0.41,0.83,0.93,0.84,0.92,0.95,0.75,0.52,0.86,0.45,0.44,0.83,0.89,0.95,0.6,0.8
personalaccess.csv,0.36,0.35,0.38,0.44,0.87,0.4,0.44,0.44,0.42,0.44,0.43,0.38,0.39,0.53,0.49,0.59,0.41,0.4
rcp-company-uibindings.csv,0.38,0.33,0.37,0.33,0.45,0.34,0.43,0.39,0.33,0.39,0.33,0.36,0.37,0.46,0.43,0.35,0.4,0.36
scenemonitor.csv,0.4,0.33,0.42,0.5,0.62,0.46,0.41,0.48,0.55,0.49,0.59,0.4,0.45,0.54,0.52,0.48,0.48,0.54
servicestack.csv,0.83,0.38,0.68,0.5,0.5,0.72,0.76,0.49,0.55,0.62,0.55,0.66,0.6,0.65,0.69,0.44,0.53,0.56
