,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.67,0.2,0.31,0.17,0.58,0.45,0.14,0.24,0.45,0.08,0.15,0.86,0.77,0.1,0.52,0.68,0.12
bwapi.csv,0.62,0.13,0.12,0.1,0.52,0.38,0.29,0.08,0.42,0.11,0.21,0.81,0.58,0.05,0.6,0.92,0.1
co-ode-owl-plugins.csv,0.6,0.25,0.24,0.14,0.68,0.46,0.56,0.54,0.45,0.1,0.17,0.93,0.5,0.06,0.62,0.76,0.06
firebreath.csv,0.83,0.26,0.19,0.18,0.62,0.52,0.45,0.17,0.44,0.16,0.14,0.95,0.6,0.08,0.73,0.7,0.21
frogatto.csv,0.81,0.18,0.14,0.15,0.66,0.49,0.37,0.09,0.56,0.2,0.22,0.88,0.64,0.05,0.74,0.7,0.16
gretl.csv,0.74,0.24,0.21,0.22,0.56,0.38,0.3,0.33,0.46,0.11,0.17,0.91,0.61,0.07,0.52,0.77,0.08
jasperreports.csv,0.64,0.11,0.12,0.09,0.47,0.39,0.28,0.06,0.17,0.17,0.23,0.85,0.66,0.29,0.33,1.0,0.05
konversation.csv,0.82,0.25,0.33,0.21,0.86,0.52,0.32,0.27,0.29,0.11,0.21,0.92,0.55,0.15,0.75,0.88,0.07
linuxsh.csv,0.67,0.35,0.3,0.21,0.61,0.39,0.0,0.52,0.48,0.09,0.0,0.93,0.52,0.0,0.61,0.75,0.0
moviesandbox.csv,0.64,0.23,0.21,0.14,0.7,0.46,0.2,0.4,0.52,0.11,0.2,0.92,0.58,0.08,0.66,0.59,0.1
ontomorphtab.csv,0.86,0.22,0.2,0.22,0.65,0.5,0.36,0.07,0.44,0.14,0.18,0.94,0.63,0.16,0.67,0.83,0.1
opengs.csv,1.0,0.28,0.44,0.27,0.67,0.47,1.0,0.5,0.65,0.22,0.0,0.92,0.61,0.02,0.65,0.74,0.18
scite-ru.csv,0.71,0.28,0.16,0.18,0.61,0.4,0.5,0.21,0.55,0.14,0.23,0.92,0.56,0.05,0.64,0.79,0.12
tokratan.csv,0.75,0.17,0.29,0.28,0.67,0.44,1.0,0.2,0.8,0.27,0.16,0.89,0.66,0.08,1.0,1.0,0.28
vrjuggler.csv,0.82,0.0,0.0,0.33,0.6,0.0,0.25,0.41,0.4,0.29,0.3,1.0,0.6,0.0,0.57,0.8,0.2
wxcode.csv,0.89,0.0,0.39,0.29,0.62,0.59,0.75,0.0,0.0,0.55,0.17,0.93,0.61,0.13,1.0,1.0,0.35
xuggle.csv,0.79,0.17,0.21,0.29,0.63,0.45,0.37,0.1,0.57,0.23,0.12,0.88,0.65,0.04,0.61,0.8,0.2
