,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.83,0.51,0.88,0.49,0.45,0.6,0.86,0.52,0.38,0.47,0.5,0.35,0.52,0.58,0.41,0.51,0.51
bwapi.csv,0.46,0.47,0.43,0.5,0.53,0.42,0.36,0.39,0.75,0.58,0.36,0.51,0.42,0.46,0.93,0.63,0.46
co-ode-owl-plugins.csv,0.53,0.68,0.59,0.57,0.43,0.54,0.89,0.96,0.36,0.43,0.83,0.72,0.79,0.54,0.42,0.49,0.63
firebreath.csv,0.44,0.49,0.44,0.64,0.4,0.55,0.55,0.46,0.38,0.48,0.5,0.37,0.41,0.68,0.59,0.56,0.79
frogatto.csv,0.35,0.38,0.42,0.43,0.36,0.4,0.33,0.37,0.42,0.48,0.36,0.34,0.33,0.45,0.42,0.45,0.45
gretl.csv,0.44,0.52,0.58,0.59,0.41,0.52,0.75,0.65,0.47,0.42,0.74,0.43,0.57,0.46,0.43,0.48,0.51
jasperreports.csv,0.68,0.51,0.43,0.56,0.61,0.45,0.35,0.39,0.58,0.94,0.36,0.46,0.48,0.7,0.78,0.93,0.48
konversation.csv,0.59,0.88,0.52,0.81,0.59,0.45,0.76,0.77,0.9,0.48,0.79,0.62,0.77,0.58,0.88,0.88,0.69
linuxsh.csv,0.71,0.7,0.75,0.97,0.39,0.9,0.67,0.96,0.39,0.5,0.0,0.96,0.96,0.99,0.42,0.54,0.94
moviesandbox.csv,0.52,0.86,0.51,0.75,0.41,0.54,0.9,0.93,0.58,0.51,0.8,0.82,0.79,0.68,0.52,0.54,0.62
ontomorphtab.csv,0.39,0.46,0.43,0.54,0.41,0.51,0.39,0.42,0.43,0.47,0.76,0.38,0.43,0.45,0.43,0.75,0.53
opengs.csv,0.75,0.72,0.75,0.72,0.39,0.73,0.5,0.75,0.59,0.89,0.0,0.74,0.76,0.89,0.65,0.89,0.59
scite-ru.csv,0.48,0.67,0.6,0.62,0.39,0.53,0.58,0.55,0.49,0.49,0.4,0.53,0.5,0.46,0.47,0.49,0.5
tokratan.csv,0.56,0.52,0.54,0.75,0.36,0.71,0.5,0.8,0.9,0.7,0.68,0.38,0.45,0.54,0.86,0.93,0.6
vrjuggler.csv,0.91,0.0,0.8,0.67,0.8,0.0,0.75,0.94,0.8,0.86,0.58,0.0,0.8,0.64,0.57,0.95,0.8
wxcode.csv,0.67,0.7,0.67,0.81,0.52,0.66,0.88,0.5,0.0,0.91,0.92,0.48,0.5,0.54,0.8,0.92,0.7
xuggle.csv,0.58,0.39,0.55,0.61,0.37,0.45,0.37,0.5,0.47,0.65,0.54,0.44,0.38,0.46,0.44,0.5,0.49
