,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.3,0.13,0.16,0.39,0.13,0.22,0.84,0.05,0.55,0.63,0.16,0.8,0.43,0.12,0.43,0.3,0.79,0.95,0.42
aubit4gl.csv,0.33,0.18,0.33,0.5,0.26,0.14,0.33,0.0,0.69,0.88,0.07,0.78,0.5,0.13,0.69,0.31,0.67,0.92,0.4
ipfilter.csv,0.28,0.14,0.14,0.4,0.16,0.21,0.49,0.05,0.56,0.59,0.16,0.82,0.5,0.13,0.48,0.31,0.96,0.96,0.3
jmol.csv,0.3,0.19,0.11,0.44,0.14,0.21,0.75,0.07,0.57,0.6,0.12,0.88,0.5,0.13,0.53,0.26,0.73,0.97,0.48
liferea.csv,0.34,0.25,0.05,0.5,0.21,0.41,0.82,0.06,0.38,0.64,0.24,0.79,0.53,0.09,0.44,0.37,0.79,0.98,0.54
miranda-icq.csv,0.39,0.19,0.15,0.56,0.23,0.25,0.59,0.06,0.25,0.72,0.12,0.85,0.49,0.2,0.52,0.39,0.84,0.88,0.38
moving-pictures.csv,0.35,0.21,0.23,0.45,0.18,0.23,1.0,0.23,0.65,0.66,0.21,0.82,0.55,0.27,0.64,0.28,0.85,0.97,0.74
opensim4opencog.csv,0.38,0.31,0.06,0.45,0.22,0.36,0.94,0.09,0.53,0.65,0.23,0.81,0.52,0.14,0.58,0.3,0.77,0.98,0.62
pclasses.csv,0.41,0.47,0.0,0.42,1.0,0.33,0.0,0.0,0.5,0.33,0.18,0.81,0.33,0.33,0.48,0.0,0.25,1.0,0.39
pfaedit.csv,0.39,0.14,0.19,0.54,0.22,0.35,0.0,0.12,0.59,0.88,0.21,0.79,0.58,0.35,1.0,0.0,1.0,0.89,0.5
plearn.csv,0.45,0.3,0.06,0.37,0.19,0.0,0.0,0.09,0.5,0.6,0.15,0.79,0.51,0.0,0.37,0.0,0.71,1.0,0.33
psrchive.csv,0.41,0.2,0.4,0.53,0.33,0.23,0.59,0.11,0.57,0.62,0.12,0.76,0.51,0.13,0.52,0.27,0.76,0.96,0.5
re2c.csv,0.36,0.18,0.86,0.32,0.17,0.22,0.41,0.1,0.52,0.62,0.09,0.73,0.53,0.11,0.5,0.18,0.52,0.94,0.31
rockbox.csv,0.38,0.22,0.14,0.45,0.24,0.43,0.0,0.13,0.55,0.71,0.22,0.78,0.52,0.26,0.75,0.35,0.89,0.97,0.67
theresa.csv,0.4,0.11,0.1,0.52,0.3,0.67,0.8,0.2,0.55,0.76,0.19,0.93,0.61,0.13,0.67,0.27,0.69,0.97,0.71
tktoolkit.csv,0.19,0.11,0.22,0.26,0.2,0.08,0.6,0.0,0.52,0.67,0.1,0.83,0.52,0.36,0.56,0.18,0.81,0.95,0.4
tzod.csv,0.36,0.13,0.13,0.52,0.19,0.33,0.64,0.13,0.6,0.7,0.17,0.84,0.54,0.11,0.75,0.35,0.77,0.97,0.36
yaprm.csv,0.4,0.19,0.07,0.56,0.23,0.5,1.0,0.14,0.61,0.86,0.22,0.86,0.62,0.15,0.6,0.5,0.86,1.0,0.55
zemljanka.csv,0.3,0.2,0.11,0.43,0.16,0.17,0.63,0.09,0.57,0.64,0.13,0.79,0.53,0.12,0.42,0.22,0.62,1.0,0.37
