,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.81,0.76,0.8,0.73,0.36
freenet.csv,0.8,0.74,0.68,0.66,0.31
mediaportal.csv,0.61,0.49,0.32,0.38,0.41
onotoa.csv,0.65,0.5,0.78,0.29,0.22
sqlpower-library.csv,0.79,0.77,0.54,0.67,0.32
