,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.33,0.32,0.33,0.44,0.39
freenet.csv,0.43,0.41,0.48,0.33,0.4
mediaportal.csv,0.48,0.61,0.74,0.7,0.54
onotoa.csv,0.56,0.67,0.45,0.8,0.65
sqlpower-library.csv,0.47,0.38,0.45,0.31,0.38
