,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.27,0.05,1.0,0.44,0.09,0.2,0.0,0.4,0.18,0.21,0.28
arsenal-1.csv,0.34,0.94,0.17,0.39,0.14,0.3,0.12,0.35,0.32,0.25,0.52
barracudamvc.csv,0.99,0.47,0.41,0.42,0.39,0.25,0.25,0.53,0.13,0.42,0.32
cascading.csv,0.43,0.43,0.36,0.62,0.14,0.29,0.12,0.51,1.0,0.46,0.47
emisview.csv,0.18,0.09,0.62,0.97,0.12,0.38,0.45,0.29,0.27,0.15,0.28
jitterbit.csv,0.44,0.4,0.59,0.54,0.18,0.96,0.23,0.24,0.16,0.29,0.35
jppf-project.csv,0.2,0.0,0.34,0.24,0.0,0.13,0.26,1.0,0.38,0.27,0.3
mevenide.csv,0.23,0.52,0.48,0.3,0.18,0.63,0.0,0.33,0.2,0.16,0.94
mycila.csv,0.12,0.0,0.11,0.11,0.45,0.15,1.0,0.15,0.3,0.43,0.09
ontopia.csv,0.31,0.13,0.54,0.33,0.45,0.35,0.24,0.15,0.45,1.0,0.46
trackit.csv,0.42,0.64,0.36,0.0,0.98,0.26,0.23,0.42,0.25,0.24,0.34
