,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.8,0.96,0.0,0.63,0.93,0.83,1.0,0.8,0.86,0.86,0.77
arsenal-1.csv,0.82,0.07,0.87,0.7,0.89,0.78,0.92,0.78,0.74,0.85,0.57
barracudamvc.csv,0.01,0.85,0.88,0.87,0.9,0.99,0.98,0.79,0.97,0.89,0.91
cascading.csv,0.85,0.77,0.72,0.51,0.89,0.79,0.91,0.59,0.0,0.78,0.69
emisview.csv,0.85,0.93,0.45,0.04,0.91,0.68,0.63,0.76,0.78,0.88,0.77
jitterbit.csv,0.71,0.72,0.59,0.59,0.88,0.05,0.87,1.0,0.88,0.76,0.72
jppf-project.csv,0.95,1.0,0.91,0.94,1.0,1.03,0.95,0.0,0.89,0.93,0.92
mevenide.csv,0.89,0.68,0.65,0.75,0.86,0.43,1.01,0.72,0.85,0.87,0.07
mycila.csv,0.9,1.0,0.91,0.93,0.74,0.89,0.02,0.88,0.75,0.73,0.96
ontopia.csv,0.79,0.95,0.8,0.85,0.74,0.95,0.82,0.88,0.85,0.0,0.85
trackit.csv,0.75,0.67,0.74,1.0,0.02,0.88,0.83,0.71,0.8,0.83,0.8
