,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.36,0.07,1.0,0.45,0.14,0.26,0.0,0.53,0.25,0.3,0.29
arsenal-1.csv,0.45,0.96,0.21,0.36,0.2,0.27,0.11,0.47,0.42,0.35,0.44
barracudamvc.csv,1.0,0.62,0.56,0.48,0.69,0.33,0.25,0.82,0.86,0.59,0.39
cascading.csv,0.57,0.42,0.39,0.52,0.2,0.27,0.12,0.63,1.0,0.6,0.33
emisview.csv,0.26,0.13,0.63,0.98,0.17,0.4,0.36,0.4,0.36,0.21,0.31
jitterbit.csv,0.55,0.42,0.54,0.45,0.23,0.97,0.15,0.34,0.22,0.39,0.32
jppf-project.csv,0.87,0.62,0.55,0.46,0.76,0.31,0.28,1.0,0.8,0.87,0.39
mevenide.csv,0.31,0.5,0.47,0.33,0.24,0.62,0.0,0.45,0.28,0.23,0.96
mycila.csv,0.19,0.0,0.15,0.12,0.51,0.17,0.95,0.21,0.4,0.55,0.08
ontopia.csv,0.4,0.15,0.56,0.25,0.51,0.23,0.21,0.21,0.84,1.0,0.34
trackit.csv,0.54,0.64,0.37,0.0,0.99,0.2,0.18,0.55,0.34,0.32,0.24
