,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.0,0.09,0.1,0.25,0.17,0.1,0.27,0.1,0.24,0.24,0.0,0.05,0.1,0.0
chaperon.csv,0.0,0.13,0.3,0.2,0.06,0.23,0.1,0.25,0.0,0.1,0.15,0.0,0.05,0.05,0.34
co-ode-owl-plugins.csv,0.0,0.0,0.0,0.08,0.06,0.19,0.16,0.15,0.1,0.03,0.1,0.0,0.0,0.0,0.03
e-bio-flow.csv,0.09,0.23,0.1,0.08,0.12,0.0,0.04,0.1,0.29,0.06,0.24,0.0,0.1,0.01,0.17
free-evolution.csv,0.55,0.32,0.14,0.14,0.25,0.17,0.41,0.42,0.1,0.22,0.28,1.0,0.1,0.0,0.72
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.02,0.0,0.0,0.02,0.0
jmonkeyengine.csv,0.27,0.35,0.35,0.0,0.25,0.23,0.4,0.6,0.27,0.08,0.27,0.0,0.27,0.19,0.21
jmule.csv,0.0,0.48,0.54,0.48,0.5,0.5,0.48,0.6,0.38,0.48,0.44,0.0,0.47,0.34,0.0
kaffeine.csv,0.0,0.68,0.91,1.0,0.75,0.9,0.97,0.98,0.69,0.97,0.86,1.0,0.68,0.98,0.72
nodal.csv,0.55,0.35,0.25,0.34,0.25,0.31,0.43,0.75,0.15,0.0,0.25,0.0,0.15,0.31,0.17
ogrehg.csv,0.09,0.29,0.14,0.16,0.38,0.29,0.0,0.52,0.19,0.02,0.38,1.0,0.07,0.17,0.07
onotoa.csv,0.27,0.48,0.47,0.24,0.06,0.58,0.5,0.33,0.69,0.62,0.73,0.0,0.93,0.32,0.66
papertoolkit.csv,0.0,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
