,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,1.0,0.36,0.77,0.47,0.79,0.85,0.17,0.3,0.31,0.55,0.77,0.92,0.95,0.05,0.93,0.11,0.28,0.63,0.98
autofac.csv,0.98,0.41,0.88,0.85,0.62,0.76,0.39,0.34,0.5,0.61,0.79,0.77,0.67,0.08,0.88,0.14,0.5,0.59,0.96
avisynth2.csv,1.0,0.5,0.83,0.5,0.0,1.0,0.5,0.33,0.67,0.43,1.0,0.8,0.0,0.6,0.9,0.0,0.62,0.0,1.0
dsworkbench.csv,1.0,0.66,0.91,0.5,1.0,0.92,0.2,0.44,0.6,0.5,0.75,0.83,0.0,0.0,0.84,0.0,0.5,0.9,0.98
exist.csv,0.96,0.41,0.75,0.47,0.49,0.76,0.28,0.36,0.43,0.81,0.75,0.72,0.75,0.05,0.9,0.11,0.27,0.62,0.96
forester-atv.csv,0.97,0.65,0.78,0.57,0.75,0.77,0.4,0.83,0.52,0.79,0.62,0.73,0.0,0.11,0.85,0.2,0.48,0.5,0.93
freelords.csv,1.0,0.42,0.8,0.51,0.56,0.83,0.36,0.37,0.45,0.57,0.82,0.74,0.76,0.05,0.89,0.17,0.42,0.63,0.98
gephex.csv,1.0,0.22,0.76,0.45,0.53,0.8,0.36,0.36,0.37,0.5,0.87,0.71,0.78,0.0,0.85,0.1,0.25,0.8,0.95
google-collections.csv,1.0,0.38,0.76,0.47,0.56,0.74,0.29,0.35,0.38,0.57,0.75,0.73,0.78,0.05,0.84,0.12,0.27,0.63,0.96
java-gnome.csv,1.0,0.36,0.82,0.5,0.73,0.72,0.25,0.34,0.67,0.57,0.91,0.74,0.96,0.03,0.9,0.11,0.35,0.7,0.96
jpaul.csv,1.0,0.5,0.73,0.69,0.0,0.69,0.52,0.26,0.5,0.44,0.5,0.65,0.5,0.0,0.86,0.2,0.42,0.0,1.0
neodatis-odb.csv,0.95,0.37,0.91,0.5,0.71,0.76,0.23,0.58,0.55,0.62,0.77,0.76,0.0,0.02,0.83,0.11,0.5,0.68,0.98
octet.csv,1.0,0.31,0.79,0.45,0.81,0.78,0.19,0.42,0.57,0.57,0.79,0.74,0.5,0.02,0.84,0.38,0.4,0.67,0.98
personalaccess.csv,1.0,0.5,0.82,0.59,0.61,0.88,0.42,0.32,0.44,0.8,0.81,0.77,0.0,0.05,0.93,0.4,0.8,0.62,0.97
pokenetonline.csv,1.0,0.41,0.75,0.5,0.59,0.82,0.43,0.34,0.54,0.57,0.76,0.85,0.62,0.05,0.85,0.23,0.42,0.68,0.98
rcp-company-uibindings.csv,1.0,0.42,0.78,0.58,0.5,0.84,0.44,0.26,0.45,0.6,0.84,0.86,0.71,0.08,0.89,0.11,0.35,0.66,1.0
scenemonitor.csv,1.0,0.38,0.78,0.62,0.65,0.89,0.53,0.32,0.71,0.72,0.82,0.78,0.71,0.0,0.88,0.29,0.3,0.62,0.97
servicestack.csv,1.0,0.52,0.76,0.5,0.0,0.56,0.67,0.42,0.5,0.72,0.69,0.92,0.0,0.0,0.92,0.4,0.57,0.0,0.97
st-filteredstatistics.csv,1.0,0.33,0.75,0.47,0.54,0.75,0.29,0.36,0.44,0.57,0.97,0.71,0.79,0.06,0.86,0.09,0.5,0.61,0.97
