,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.18,0.58,0.6,0.72,0.55,0.65,0.18,0.68,0.25,0.74,0.95,0.37,0.65,1.0,0.2,0.29,0.88,1.0,0.45
autofac.csv,0.66,0.88,0.14,0.79,0.27,0.33,0.82,0.73,0.15,0.77,0.49,0.57,0.25,1.0,0.63,0.57,0.47,0.54,0.63
avisynth2.csv,0.2,0.23,0.2,0.14,0.0,0.04,0.12,0.03,0.1,0.05,0.08,0.13,0.0,1.0,0.21,0.0,0.47,0.0,0.06
dsworkbench.csv,0.14,0.73,0.78,0.1,0.05,0.14,0.06,0.11,0.45,0.08,0.31,0.08,0.0,0.0,0.31,0.0,0.06,0.25,0.2
exist.csv,0.69,1.0,0.78,1.0,0.58,0.82,0.94,1.0,0.8,0.79,1.0,0.97,0.7,1.0,0.35,0.86,1.0,0.85,0.98
forester-atv.csv,0.36,0.77,0.42,0.28,0.05,0.22,0.24,0.14,0.8,0.21,0.13,0.62,0.0,0.67,0.69,0.14,0.59,0.04,0.39
freelords.csv,0.74,0.96,0.82,0.69,0.93,0.7,0.94,0.76,0.85,0.92,0.82,0.72,0.91,1.0,0.71,0.71,0.47,0.99,0.68
gephex.csv,0.32,0.27,1.0,0.9,0.82,0.76,0.94,0.81,0.55,0.56,0.69,0.97,1.0,0.0,0.59,0.71,0.82,0.69,0.65
google-collections.csv,0.82,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.9,0.99,1.0,0.97,1.0,1.0,0.99,1.0,1.0,1.0,1.0
java-gnome.csv,0.1,0.5,0.56,0.41,0.5,0.23,0.29,0.43,0.3,0.31,0.26,0.85,0.77,0.33,0.15,0.43,0.35,0.32,0.2
jpaul.csv,0.31,0.58,0.72,0.31,0.0,0.11,0.82,0.24,0.45,0.1,0.1,0.22,0.02,0.0,0.45,0.43,0.29,0.0,0.17
neodatis-odb.csv,0.52,0.77,0.2,0.41,0.17,0.16,0.59,0.68,0.3,0.26,0.59,0.22,0.0,0.33,0.43,0.57,0.06,0.48,0.81
octet.csv,0.18,0.38,0.54,0.48,0.37,0.27,0.24,0.35,0.2,0.9,0.49,0.48,0.04,0.33,0.56,0.86,0.12,0.54,0.62
personalaccess.csv,0.15,0.65,0.72,0.55,0.18,0.44,0.59,0.38,0.6,0.46,0.64,0.4,0.0,0.33,0.85,0.57,0.24,0.42,0.5
pokenetonline.csv,0.45,0.92,0.98,0.72,0.68,0.71,0.76,0.81,0.65,1.0,0.97,0.68,0.26,1.0,0.94,0.71,0.82,0.73,0.73
rcp-company-uibindings.csv,0.69,0.73,0.84,0.48,0.33,0.61,0.65,0.43,0.45,0.29,0.69,0.3,0.21,0.67,0.46,0.43,0.47,0.58,0.86
scenemonitor.csv,0.39,0.54,0.94,0.62,0.37,0.51,0.59,0.51,0.75,0.19,0.69,0.47,0.21,0.0,0.58,0.29,0.53,0.21,0.46
servicestack.csv,0.04,0.65,0.26,0.1,0.0,0.06,0.12,0.22,0.05,0.39,0.28,0.2,0.0,0.0,0.27,0.29,0.71,0.0,0.15
st-filteredstatistics.csv,0.41,0.62,0.6,0.72,0.83,0.9,0.88,0.73,0.8,0.94,0.79,0.7,1.0,0.67,0.77,0.71,0.47,0.48,0.74
