,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.18,0.05,0.37,0.04,0.26,0.7,0.76,0.33,0.58,0.19,0.05,0.13,0.0,0.1,0.04,0.5,0.12
blue-c.csv,0.28,0.57,0.49,0.78,0.48,0.76,0.41,0.0,0.14,0.72,0.55,0.32,0.43,0.65,0.62,0.71,0.81
factor.csv,0.06,0.31,0.24,0.27,0.0,0.02,0.18,0.52,0.0,0.34,0.18,0.24,0.0,0.1,0.28,0.49,0.92
fltk.csv,0.18,0.65,0.59,0.72,0.45,0.55,0.27,0.13,0.07,0.66,0.67,0.25,0.41,0.74,0.57,0.64,0.81
free-evolution.csv,0.44,0.25,0.45,0.31,0.26,0.48,0.67,0.54,0.41,0.09,0.66,0.63,0.54,0.56,0.67,0.56,0.06
icescrum.csv,0.4,0.42,0.22,0.42,0.13,0.55,0.61,0.65,0.56,0.33,0.53,0.48,0.0,0.68,0.34,0.87,0.46
jbasic.csv,0.49,0.52,0.17,0.7,0.35,0.75,0.35,0.48,0.53,0.0,0.35,0.17,0.0,0.0,0.59,0.51,0.27
kvs.csv,0.72,0.38,0.61,0.04,0.57,0.21,0.76,0.17,0.54,0.46,0.49,0.33,0.47,0.57,0.14,0.69,0.14
monetdb.csv,0.0,0.07,0.14,0.24,0.0,0.12,0.05,0.33,0.07,0.27,0.66,0.37,0.69,0.59,0.31,0.3,0.71
phet.csv,0.52,0.07,0.66,0.15,0.46,0.45,0.74,0.17,0.59,0.28,0.3,0.59,0.22,0.16,0.45,0.19,0.38
projecteqemu.csv,0.12,0.44,0.12,0.32,0.0,0.59,0.66,0.56,0.15,0.57,0.56,0.05,0.0,0.72,0.41,0.59,0.24
repositorium.csv,0.4,0.44,0.4,0.04,0.45,0.04,0.05,0.09,0.0,0.19,0.29,0.47,0.73,0.1,0.44,0.24,0.28
smarttag.csv,0.57,0.61,0.48,0.48,0.63,0.25,0.59,0.67,0.46,0.47,0.38,0.62,0.4,0.51,0.53,0.58,0.4
sumatrapdf.csv,0.62,0.56,0.32,0.8,0.34,0.09,0.21,0.0,0.58,0.76,0.41,0.46,0.39,0.38,0.66,0.54,0.57
voms.csv,0.18,0.62,0.44,0.35,0.88,0.49,0.45,0.56,0.14,0.73,0.69,0.24,0.5,0.74,0.41,0.64,0.27
vrjuggler.csv,0.29,0.43,0.53,0.16,0.0,0.43,0.14,0.0,0.68,0.12,0.35,0.13,0.4,0.53,0.25,0.0,0.57
wheat.csv,0.59,0.44,0.51,0.61,0.32,0.51,0.67,0.49,0.52,0.37,0.68,0.68,0.42,0.5,0.56,0.61,0.65
