,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.85,0.96,0.88,0.97,0.78,0.45,0.34,0.76,0.66,0.93,0.96,0.89,1.0,0.92,0.97,0.63,0.97
blue-c.csv,0.87,0.78,0.82,0.28,0.59,0.47,0.88,1.0,0.94,0.36,0.78,0.85,0.85,0.71,0.56,0.58,0.41
factor.csv,0.95,0.78,0.82,0.77,1.02,0.98,1.0,0.75,1.0,0.71,0.85,0.84,1.0,0.92,0.77,0.65,0.15
fltk.csv,0.87,0.46,0.7,0.42,0.77,0.54,0.93,0.97,0.94,0.39,0.48,0.8,0.64,0.58,0.57,0.65,0.31
free-evolution.csv,0.64,0.84,0.88,0.74,0.82,0.63,0.5,0.77,0.76,0.98,0.52,0.72,0.68,0.77,0.53,0.77,1.0
icescrum.csv,0.66,0.71,0.92,0.63,0.91,0.54,0.53,0.49,0.61,0.75,0.57,0.58,1.02,0.44,0.71,0.22,0.71
jbasic.csv,0.82,0.81,0.96,0.68,0.84,0.43,0.9,0.77,0.76,1.0,0.9,0.87,1.0,1.0,0.63,0.82,1.02
kvs.csv,0.35,0.75,0.71,0.97,0.57,0.95,0.35,0.88,0.81,0.86,0.6,0.73,0.7,0.6,0.9,0.54,1.09
monetdb.csv,1.0,0.94,0.91,0.8,1.0,0.91,0.97,0.8,0.96,0.78,0.43,0.69,0.52,0.56,0.77,0.77,0.36
phet.csv,0.82,0.98,0.45,1.07,0.87,0.87,0.41,0.86,0.72,1.07,0.94,0.65,1.01,1.04,0.87,0.91,0.89
projecteqemu.csv,0.9,0.62,0.92,0.73,1.0,0.53,0.62,0.75,0.88,0.49,0.55,0.97,1.0,0.39,0.65,0.56,0.81
repositorium.csv,0.89,0.86,0.7,0.97,0.86,1.08,0.96,0.94,1.0,0.84,0.88,0.8,0.4,1.01,0.72,0.87,0.82
smarttag.csv,0.55,0.65,0.84,0.58,0.67,0.81,0.52,0.41,0.7,0.68,0.69,0.58,0.68,0.67,0.65,0.75,0.83
sumatrapdf.csv,0.69,0.79,0.92,0.56,0.92,0.98,0.95,1.0,0.72,0.31,0.87,0.68,0.89,0.89,0.64,0.8,0.79
voms.csv,0.86,0.74,0.78,0.7,0.19,0.57,0.85,0.77,0.92,0.32,0.48,0.84,0.55,0.46,0.65,0.65,0.85
vrjuggler.csv,0.82,0.78,0.74,0.87,1.07,0.64,0.9,1.0,0.46,0.98,0.71,0.89,0.72,0.59,0.8,1.0,0.75
wheat.csv,0.67,0.73,0.71,0.65,0.98,0.8,0.67,0.73,0.72,0.93,0.63,0.46,0.87,0.6,0.62,0.57,0.7
