,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.66,0.4,0.76,0.47
n2cms.csv,0.36,0.56,0.92,0.67
nassp.csv,0.84,0.73,0.77,0.27
nug.csv,0.92,0.72,0.31,0.83
