,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.85,0.6,0.77,0.79,0.95,0.48,0.57,1.07,0.67,0.7,0.8,0.98,0.65,0.82,0.85
calcubetimer.csv,0.63,1.0,0.99,0.86,0.88,1.0,0.8,0.14,0.85,0.77,0.6,0.81,0.79,0.69,0.84
chaosrts.csv,0.72,0.93,1.0,0.57,0.57,1.0,0.77,0.77,0.56,1.03,1.01,0.66,0.26,0.69,0.81
emono.csv,0.61,0.84,0.16,0.82,0.89,0.95,0.52,1.0,1.01,0.32,0.87,0.92,0.97,0.9,0.43
freelords.csv,0.73,0.82,0.96,0.57,0.72,0.69,0.78,0.62,0.72,1.01,0.87,0.67,0.58,0.85,0.88
jmonkeyengine.csv,0.81,0.44,0.86,0.91,0.38,0.79,0.68,1.21,0.89,1.01,0.48,0.69,0.71,0.69,0.96
jython.csv,0.87,0.8,0.17,0.97,0.74,0.83,0.59,0.5,1.0,1.03,1.11,0.8,1.0,0.82,0.66
mclient-mume.csv,0.83,0.2,0.86,0.88,0.54,1.0,0.6,0.88,0.71,1.02,0.51,0.65,0.69,0.7,0.79
papertoolkit.csv,0.77,0.97,0.38,0.88,0.85,0.87,0.5,0.79,0.9,0.76,0.18,0.81,0.93,0.85,0.64
primefaces.csv,0.69,1.0,1.0,0.54,0.94,1.0,1.0,0.76,0.82,1.0,1.01,0.34,1.0,0.81,1.0
st-filteredstatistics.csv,0.92,1.0,0.99,0.82,0.91,0.88,0.89,0.77,0.37,1.0,0.84,0.93,0.95,0.97,1.0
toped.csv,0.9,0.72,0.98,0.7,0.85,0.82,0.24,1.0,0.93,1.08,0.87,0.89,0.95,0.97,0.65
triplea.csv,0.36,0.43,0.33,0.76,0.68,0.64,0.48,1.0,0.92,0.43,0.69,0.82,0.95,0.97,0.58
web-cat.csv,0.79,0.81,0.82,0.77,0.84,0.91,0.58,0.76,0.78,1.01,0.63,0.73,0.8,0.43,0.75
