,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.2,0.29,0.73,0.31,0.32,0.74,0.33,0.45,0.8,0.14,0.14
gabel.csv,0.0,0.35,0.51,0.29,0.24,0.26,0.47,0.12,0.0,0.16,0.14
javaprofiler.csv,0.78,0.71,0.94,0.77,0.66,0.95,0.65,0.81,0.35,0.84,0.17
jmoney.csv,0.2,0.47,0.49,0.4,0.22,0.29,0.25,0.25,0.07,0.51,0.08
mycila.csv,0.61,0.76,0.47,0.97,0.7,0.21,0.65,0.83,0.63,0.98,0.64
neodatis-odb.csv,1.0,0.35,0.29,0.86,0.73,0.43,0.47,0.77,0.41,0.93,0.67
servicestack.csv,0.02,0.12,0.13,0.03,0.0,0.07,0.03,0.01,0.17,0.02,0.0
sqlpower-library.csv,0.78,0.24,0.57,0.69,0.64,0.83,0.98,0.48,0.59,0.81,0.39
synecdoche.csv,0.29,0.82,0.57,1.0,0.49,0.21,0.22,0.58,0.61,0.21,0.44
tmva.csv,0.66,1.0,0.74,0.57,0.87,0.93,0.28,0.98,1.0,0.35,0.83
unicase.csv,0.93,0.76,0.79,0.69,0.64,0.67,0.92,0.4,0.33,0.86,0.97
