,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.24,0.68,0.31,0.66,1.0,0.61
chaperon.csv,0.17,0.17,0.29,1.0,0.24,0.21
mule.csv,0.97,0.4,0.29,0.0,0.45,0.42
nunit.csv,0.35,0.49,0.26,0.0,0.65,0.98
springside.csv,0.63,0.98,0.65,0.67,0.53,0.58
swtfox.csv,0.43,0.46,0.98,0.5,0.25,0.47
