,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.05,0.89,0.21,0.0,0.22,0.33,0.0,0.08,0.06,0.09,0.14,0.0,0.29,0.39,0.0,0.15,0.15,0.0,0.08,0.28
baadengine.csv,0.99,0.11,0.84,0.03,0.72,0.46,0.47,0.42,0.32,0.59,0.22,0.08,0.34,0.67,0.3,0.18,0.85,0.97,0.91,0.86
bibedt.csv,0.56,0.07,0.5,0.07,0.64,0.36,0.58,0.36,0.34,0.37,0.28,0.12,1.0,0.69,0.38,0.15,0.44,0.28,0.54,0.77
cascading.csv,0.28,0.0,0.8,0.08,0.62,0.33,0.27,0.42,0.33,0.56,0.26,0.12,0.33,0.53,0.28,0.19,1.0,0.2,0.53,0.76
chaosrts.csv,0.8,0.14,0.57,0.04,0.67,0.46,0.47,0.4,0.32,0.59,0.19,0.08,0.34,0.73,0.24,0.2,0.79,0.96,1.0,0.86
exl.csv,0.5,0.13,0.8,0.05,0.76,0.42,0.52,0.41,0.32,0.43,0.22,0.11,0.46,0.6,0.29,0.15,0.52,0.48,0.74,0.98
gnome-jabber.csv,0.67,0.04,0.86,0.03,0.73,0.41,0.47,0.4,0.31,0.5,0.23,0.11,0.33,0.66,0.3,0.24,0.81,0.99,0.66,0.75
gogoego.csv,0.64,0.0,0.14,0.0,0.47,0.32,0.47,0.97,0.2,0.37,0.2,0.2,0.32,0.56,0.41,0.16,0.33,0.97,0.48,0.57
httpcontentparser.csv,0.17,0.0,0.06,0.0,0.21,0.36,0.11,0.02,0.03,0.0,0.83,0.0,0.2,0.35,0.19,0.0,0.02,0.76,0.13,0.39
impala.csv,0.52,0.13,0.34,0.0,0.41,0.46,0.26,0.24,0.13,0.16,0.21,0.0,0.21,0.33,0.24,0.89,0.08,0.83,0.32,0.19
jaxlib.csv,0.16,0.0,0.04,0.0,0.31,0.18,0.27,0.23,0.0,0.28,0.3,1.0,0.0,0.39,0.0,0.0,0.13,0.08,0.28,0.71
jgameai.csv,0.14,0.27,0.31,0.0,0.25,0.98,0.41,0.16,0.03,0.27,0.05,0.2,0.12,0.24,0.0,0.13,0.28,0.66,0.56,0.43
jhotdraw.csv,0.49,0.11,0.1,0.0,0.51,0.13,0.05,0.27,0.93,0.28,0.04,0.0,0.08,0.34,0.22,0.23,0.19,0.67,0.3,0.15
patterntesting.csv,0.57,0.0,0.33,0.0,0.57,0.23,0.55,0.39,0.28,0.97,0.27,0.22,0.4,0.67,0.4,0.16,0.55,0.37,0.74,0.77
pokeglobal.csv,0.67,0.08,0.68,0.0,1.0,0.32,0.47,0.39,0.33,0.33,0.12,0.04,0.24,0.68,0.21,0.2,0.78,0.97,0.85,0.35
snakeyaml.csv,0.33,0.27,0.59,0.0,0.56,0.42,0.4,0.33,0.32,0.26,0.13,0.07,0.24,0.56,0.96,0.09,0.54,0.87,0.72,0.49
unflobtactical.csv,0.51,0.16,0.28,0.0,0.59,0.4,0.59,0.4,0.3,0.54,0.27,0.14,0.33,0.97,0.35,0.17,0.44,0.68,0.71,0.69
werx.csv,0.84,0.13,1.0,0.02,0.73,0.45,0.47,0.4,0.31,0.53,0.19,0.08,0.33,0.73,0.22,0.22,0.87,0.97,0.93,0.84
zealos.csv,0.53,0.08,0.65,0.05,0.59,0.37,0.95,0.36,0.3,0.47,0.21,0.07,0.29,0.59,0.27,0.19,0.62,0.58,0.87,0.64
