,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.81,0.41,0.0,0.37,0.53,0.67,0.0,0.17,0.32,0.24,0.32,0.51,0.41,0.7,0.0,0.0,0.45,0.5
bionote.csv,0.77,0.05,0.35,0.0,0.32,0.42,0.16,0.51,0.06,0.06,0.1,0.64,0.97,0.51,0.34,0.17,0.27,0.57
buddata-ebxml-registry.csv,0.0,0.09,0.51,0.0,0.0,0.13,0.05,0.05,0.0,0.4,0.13,0.21,0.6,0.09,0.79,0.0,0.94,0.17
bullet.csv,0.57,0.52,0.35,0.32,0.71,0.59,0.58,0.47,0.56,0.61,0.36,0.58,0.4,0.55,0.58,0.41,0.4,0.62
bulmages.csv,0.51,0.05,0.55,0.2,0.52,0.3,0.52,0.62,0.01,0.49,0.11,0.55,0.15,0.65,0.25,0.26,0.16,0.55
bwapi.csv,0.0,0.59,0.56,0.56,0.0,0.0,0.05,0.21,0.48,0.62,0.78,0.09,0.09,0.09,0.0,0.0,0.0,0.0
cubefs.csv,0.0,0.09,0.12,0.39,0.46,0.3,0.0,0.06,0.71,0.5,0.14,0.51,0.41,0.24,0.61,0.34,0.63,0.07
emisview.csv,0.0,0.05,0.4,0.66,0.01,0.19,0.0,0.0,0.19,0.0,0.01,0.34,0.53,0.0,0.17,0.15,0.34,0.04
java-gnome.csv,0.1,0.42,0.42,0.42,0.34,0.35,0.64,0.27,0.11,0.82,0.11,0.38,0.64,0.44,0.38,0.31,0.22,0.37
jgameai.csv,0.0,0.64,0.06,0.2,0.12,0.19,0.26,0.27,0.11,0.05,0.4,0.11,0.14,0.12,0.12,0.23,0.12,0.04
megasquirtavr.csv,0.0,0.3,0.55,0.3,0.58,0.41,0.34,0.64,0.0,0.0,0.34,0.46,0.36,0.23,0.45,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.62,0.15,0.47,0.2,0.47,0.06,0.34,0.51,0.47,0.65,0.09,0.7,0.83,0.51,0.4,0.41,0.22,0.56
mptvseries.csv,0.58,0.15,0.29,0.26,0.32,0.76,0.47,0.46,0.25,0.05,0.18,0.47,0.43,0.45,0.05,0.53,0.23,0.32
oorexx.csv,0.37,0.26,0.53,0.6,0.62,0.36,0.52,0.53,0.16,0.25,0.46,0.42,0.42,0.57,0.22,0.49,0.4,0.71
somap.csv,0.57,0.46,0.05,0.63,0.35,0.32,0.09,0.24,0.59,0.24,0.44,0.37,0.52,0.2,0.86,0.75,0.56,0.17
tktoolkit.csv,0.13,0.3,0.62,0.29,0.69,0.55,0.61,0.36,0.24,0.63,0.45,0.58,0.0,0.65,0.47,0.43,0.44,0.65
xharbour.csv,0.8,0.35,0.54,0.47,0.5,0.68,0.61,0.51,0.0,0.54,0.42,0.57,0.69,0.32,0.0,0.0,0.59,0.51
