,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.9,0.22,0.17,0.23,0.75,0.75,0.0,0.18,0.68,0.54,0.78,0.33,0.12,0.49,0.9,0.98,0.93,0.58
bionote.csv,0.94,0.17,0.55,0.0,0.79,0.54,0.09,0.3,0.67,0.75,1.0,0.4,0.5,0.3,0.88,1.0,0.89,0.61
buddata-ebxml-registry.csv,0.82,0.29,0.24,0.3,0.76,0.39,0.13,0.19,0.69,0.79,0.78,0.33,0.17,0.18,0.96,0.98,1.0,0.59
bullet.csv,0.9,0.27,0.43,0.21,0.9,0.48,0.14,0.18,0.76,0.82,0.77,0.34,0.09,0.18,0.94,1.0,0.96,0.63
bulmages.csv,0.95,0.5,0.22,0.36,0.79,0.38,0.12,0.29,1.0,0.79,1.0,0.52,0.17,0.27,0.94,1.0,1.0,0.6
bwapi.csv,0.82,0.33,0.25,0.34,0.76,0.38,0.13,0.22,0.7,0.83,0.92,0.32,0.14,0.19,0.92,0.98,0.92,0.59
cubefs.csv,0.82,0.29,1.0,0.28,0.82,0.33,0.13,0.07,0.81,0.79,0.6,0.3,0.13,0.29,0.96,1.0,0.96,0.29
emisview.csv,0.0,0.12,0.37,0.5,1.0,0.33,0.0,0.0,0.52,0.0,1.0,0.32,0.22,0.0,1.0,1.0,0.95,1.0
java-gnome.csv,0.88,0.24,0.18,0.33,0.8,0.33,0.16,0.14,0.88,0.96,0.69,0.33,0.26,0.27,0.96,1.0,0.93,0.57
jgameai.csv,0.0,0.4,0.5,0.5,0.58,0.33,0.17,0.15,1.0,1.0,0.79,0.44,0.08,0.12,1.0,1.0,1.0,0.33
megasquirtavr.csv,0.82,0.29,0.5,0.25,0.78,0.44,0.1,0.25,0.69,0.78,0.73,0.27,0.09,0.14,0.92,0.96,0.93,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.89,0.33,0.21,0.27,0.77,0.33,0.17,0.31,0.71,0.83,0.9,0.51,0.29,0.28,0.96,1.0,0.93,0.65
mptvseries.csv,0.96,0.33,0.62,0.45,0.83,0.58,0.2,0.26,0.64,0.67,0.86,0.42,0.27,0.34,1.0,1.0,1.0,0.77
oorexx.csv,0.88,0.17,0.2,0.39,0.87,0.46,0.13,0.26,0.62,0.75,0.73,0.36,0.17,0.24,0.93,1.0,0.96,0.73
somap.csv,0.83,0.29,0.21,0.36,0.77,0.22,0.13,0.22,0.71,0.78,0.79,0.32,0.13,0.17,1.0,1.0,0.95,0.59
tktoolkit.csv,0.91,0.23,0.24,0.28,0.83,0.4,0.37,0.15,0.7,0.81,0.8,0.34,0.13,0.23,0.94,1.0,0.94,0.67
xharbour.csv,0.99,0.3,0.25,0.3,0.77,0.46,0.16,0.21,0.69,0.88,0.73,0.34,0.18,0.18,0.92,0.98,0.95,0.6
