,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv
empserver.csv,0.5,0.44,0.46,0.65,0.52,0.45,0.68,0.37
enlightenment.csv,0.47,0.4,0.42,0.47,0.41,0.43,0.52,0.39
ildjit.csv,0.83,0.97,0.99,0.99,0.56,0.98,0.92,0.78
jfreereport.csv,0.95,0.94,0.77,0.82,0.89,0.67,0.96,0.83
lufa-lib.csv,0.82,0.62,0.8,0.71,0.83,0.54,0.73,0.88
pcsx2.csv,0.78,0.58,0.5,0.52,0.43,0.48,0.5,0.93
psycle.csv,0.43,0.36,0.42,0.45,0.35,0.37,0.47,0.36
wxjs.csv,0.94,0.0,0.99,0.83,0.0,0.94,0.0,0.67
