,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.36,0.12,0.11,0.37,0.25,0.17,0.52,0.32,1.0,0.13,0.55,0.16,0.22,0.11
dvt.csv,0.1,0.46,0.35,0.4,0.0,0.98,0.06,0.51,0.12,0.13,0.28,0.48,0.1,0.11
flylinkdc.csv,0.98,0.38,0.24,0.04,0.58,0.17,0.38,0.38,0.36,0.48,0.09,0.3,0.29,0.4
fulguro.csv,0.17,0.25,0.31,0.29,0.33,0.08,0.12,0.4,0.12,0.2,0.36,0.22,0.04,1.0
gnome-jabber.csv,0.4,0.09,0.17,0.42,0.41,0.3,0.13,0.27,0.43,0.3,0.77,0.0,0.4,0.0
ipfire-wall.csv,0.26,0.4,0.5,0.38,0.33,0.22,0.12,0.47,0.27,0.99,0.0,0.38,0.47,0.57
jruby.csv,0.49,0.41,0.24,0.3,0.33,0.47,0.28,0.37,0.0,0.26,0.45,0.99,0.53,0.11
ldview.csv,0.51,0.46,0.62,0.32,0.6,0.33,1.0,0.45,0.33,0.36,0.16,0.43,0.57,0.4
maidsafe-dht.csv,0.17,0.15,0.38,0.12,1.0,0.12,0.06,0.27,0.0,0.32,0.09,0.07,0.33,0.0
nuttx.csv,0.47,0.52,0.09,0.99,0.6,0.68,0.56,0.5,0.12,0.55,0.47,0.37,0.6,0.45
oorexx.csv,0.57,0.55,0.16,0.57,0.57,0.6,0.54,0.48,0.56,0.35,0.45,0.51,0.98,0.54
red5.csv,0.55,0.49,0.27,0.43,0.51,0.42,0.53,0.98,0.64,0.54,0.2,0.61,0.17,0.31
vdsf.csv,0.43,0.61,0.9,0.0,0.42,0.45,0.0,0.27,0.2,0.33,0.0,0.58,0.48,0.32
xbrlapi.csv,0.22,1.0,0.34,0.3,0.44,0.45,0.7,0.5,0.67,0.46,0.53,0.38,0.28,0.57
