,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.32,0.1,0.09,0.35,0.21,0.14,0.52,0.28,1.0,0.11,0.51,0.13,0.19,0.09
dvt.csv,0.08,0.67,0.92,0.36,0.0,0.98,0.05,0.53,0.1,0.11,0.24,0.47,0.08,0.09
flylinkdc.csv,0.97,0.33,0.2,0.03,0.57,0.14,0.33,0.33,0.33,0.44,0.07,0.28,0.25,0.36
fulguro.csv,0.14,0.21,0.27,0.26,0.29,0.07,0.1,0.35,0.1,0.17,0.33,0.19,0.03,1.0
gnome-jabber.csv,0.95,0.98,0.81,0.96,0.86,0.98,0.81,0.98,0.9,0.94,1.0,0.94,0.94,1.0
ipfire-wall.csv,0.22,0.36,0.46,0.36,0.29,0.19,0.1,0.44,0.24,1.0,0.65,0.34,0.47,0.55
jruby.csv,0.81,0.4,1.0,0.9,0.29,0.43,0.24,0.33,0.0,0.22,0.42,1.0,0.56,0.09
ldview.csv,0.49,0.43,0.8,0.28,0.57,0.33,1.0,0.4,0.29,0.33,0.13,0.4,0.56,0.36
maidsafe-dht.csv,0.14,0.12,0.33,0.1,1.0,0.1,0.05,0.23,0.0,0.28,0.07,0.06,0.28,0.0
nuttx.csv,0.68,0.86,0.9,1.0,0.64,0.81,0.52,0.51,0.1,0.56,0.45,0.87,0.69,0.45
oorexx.csv,0.7,0.6,0.75,0.7,0.57,0.6,0.62,0.44,0.57,0.5,0.41,0.51,1.0,0.73
red5.csv,0.57,0.5,0.99,0.4,0.5,0.38,0.52,0.98,0.67,0.56,0.17,0.73,0.14,0.27
vdsf.csv,0.76,0.79,0.88,0.93,0.57,0.71,1.0,0.88,0.9,0.67,0.97,0.83,0.97,0.91
xbrlapi.csv,0.19,1.0,0.71,0.93,0.43,0.45,0.81,0.51,0.86,0.44,0.91,0.36,0.25,0.55
