,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.21,0.1,0.01,0.51,0.25,0.18,0.46,0.17,0.0,0.19,0.2,0.21,0.24,0.11
dvt.csv,0.24,0.8,0.9,0.28,0.23,0.0,0.05,0.55,0.2,0.08,0.2,0.47,0.2,0.04
flylinkdc.csv,0.0,0.15,0.05,0.03,0.37,0.22,0.11,0.14,0.37,0.3,0.0,0.53,0.2,0.25
fulguro.csv,0.09,0.08,0.07,0.38,0.32,0.41,0.03,0.14,0.07,0.03,0.4,0.21,0.04,0.01
gnome-jabber.csv,0.88,0.98,0.96,0.87,0.87,0.92,0.97,0.93,0.86,0.92,0.6,1.0,0.88,1.0
ipfire-wall.csv,0.14,0.2,0.21,0.54,0.32,0.24,0.24,0.38,0.42,0.03,1.0,0.32,0.52,0.34
jruby.csv,0.81,0.55,0.94,0.92,0.15,0.28,0.16,0.28,0.08,0.24,0.4,0.05,0.56,0.03
ldview.csv,0.38,0.4,0.67,0.26,0.23,0.67,0.0,0.07,0.36,0.38,0.2,0.37,0.36,0.33
maidsafe-dht.csv,0.04,0.02,0.17,0.23,0.0,0.14,0.0,0.14,0.05,0.11,0.0,0.05,0.08,0.03
nuttx.csv,0.79,0.8,0.98,0.03,0.53,0.59,0.22,0.52,0.27,0.49,0.4,0.89,0.6,0.54
oorexx.csv,0.68,0.6,0.96,0.67,0.43,0.42,0.65,0.24,0.46,0.84,0.2,0.47,0.08,0.73
red5.csv,0.51,0.55,0.93,0.41,0.43,0.28,0.43,0.0,0.47,0.51,0.0,0.63,0.04,0.35
vdsf.csv,0.84,0.68,0.0,1.0,0.8,0.82,1.0,0.93,0.95,0.89,1.0,0.74,0.84,0.91
xbrlapi.csv,0.29,0.02,0.89,0.92,0.53,0.55,0.54,0.55,0.64,0.43,0.8,0.47,0.44,0.33
