,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.41,0.24,0.27,0.46,0.38,0.31,0.3,0.05,0.28,0.33,0.96,0.12,0.27,0.72,0.25,0.69,0.31,0.11
beast-mcmc.csv,0.97,0.45,0.39,0.28,0.38,0.44,0.46,0.59,0.4,0.4,0.28,0.5,0.6,0.53,0.14,0.55,0.31,0.19
cuberok.csv,0.71,0.58,0.53,0.62,0.73,0.64,0.74,1.0,0.6,0.43,0.6,0.44,0.73,0.85,0.32,0.41,0.57,0.29
exist.csv,0.42,0.55,0.27,0.38,0.34,0.36,0.42,0.18,0.36,0.29,0.32,0.19,0.98,0.6,0.18,0.34,0.31,0.11
ingex.csv,0.3,0.15,0.29,0.18,0.53,0.33,0.33,0.32,0.64,0.51,0.44,0.06,0.38,0.49,0.25,0.9,0.22,0.19
javaprofiler.csv,0.55,0.67,0.37,0.82,0.58,0.83,0.7,0.64,0.52,0.35,0.72,0.62,0.57,0.45,0.64,0.86,0.54,1.0
jbasic.csv,0.26,0.27,0.37,0.18,0.33,0.19,0.46,0.41,0.44,0.92,0.6,0.25,0.42,0.4,0.0,0.07,0.3,0.21
jgnash.csv,0.17,0.12,0.31,0.23,0.14,0.44,0.14,0.36,0.92,0.22,0.16,0.31,0.49,0.17,0.36,0.76,0.13,0.24
jrefactory.csv,0.44,0.39,0.96,0.28,0.27,0.53,0.33,0.68,0.32,0.87,0.48,0.44,0.39,0.55,0.43,0.1,0.35,0.31
jsecurity.csv,0.58,0.42,0.33,0.9,0.16,0.39,0.36,0.41,0.36,0.1,0.28,0.44,0.38,0.53,0.43,0.69,0.43,0.36
libopenmetaverse.csv,0.88,0.79,0.96,0.87,0.84,0.97,0.89,0.73,0.88,0.81,0.84,0.94,0.62,0.85,0.71,0.9,0.63,0.85
mobicents.csv,0.53,0.64,0.55,0.36,0.45,0.44,0.99,0.73,0.44,0.7,0.36,0.38,0.57,0.7,0.36,0.69,0.46,0.27
mp-rechnungs-und-kundenverwaltung.csv,0.2,0.3,0.22,0.33,0.36,0.36,0.42,0.5,0.24,0.3,0.16,0.25,0.59,0.96,0.18,0.59,0.33,0.47
openefm.csv,0.41,0.97,0.41,0.74,0.55,0.19,0.43,0.5,0.6,0.25,0.96,0.25,0.54,0.72,0.46,0.48,0.39,0.16
power-architect.csv,0.65,0.64,0.76,0.82,0.73,0.92,0.61,0.32,0.76,0.29,0.64,0.62,0.51,0.64,0.75,0.41,1.0,0.49
sidekar.csv,0.82,0.33,0.53,0.77,0.98,0.53,0.65,0.45,0.8,0.56,0.64,0.44,0.48,0.79,0.14,0.69,0.56,0.33
wheat.csv,0.2,0.27,0.06,0.05,0.11,0.17,0.1,0.05,0.08,0.06,0.12,0.19,0.06,0.0,0.96,0.21,0.26,0.39
yarp0.csv,0.8,0.58,0.67,0.62,0.72,0.56,0.62,0.5,0.52,0.86,0.68,0.94,0.46,0.79,0.54,0.79,0.61,0.51
