,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.56,0.75,0.64,0.77,0.57,0.33,1.0,1.0,0.98,0.6,0.95,0.66,0.73,0.84,1.0,0.66,1.0,1.0,0.6,0.67
arcallians.csv,0.67,0.74,0.76,0.88,0.73,0.96,0.81,0.51,0.65,0.5,0.45,0.29,0.78,0.73,0.44,0.89,1.0,0.61,0.75,0.29
arianne.csv,0.7,0.94,1.0,0.96,0.98,0.92,0.81,1.0,0.9,0.95,1.0,0.99,0.97,0.94,1.0,0.83,1.0,0.88,0.95,0.83
aztec.csv,0.21,0.63,0.12,0.29,0.7,0.79,0.44,0.46,0.37,0.55,0.6,0.36,0.16,0.39,0.71,0.24,0.67,0.59,0.5,0.5
biopax.csv,0.96,0.9,1.0,0.94,0.75,0.58,1.0,1.0,0.98,0.85,0.95,0.78,0.97,0.99,1.0,0.8,1.0,0.97,0.95,0.88
bl-toolkit.csv,0.72,0.76,0.78,0.58,1.0,0.88,0.81,1.0,0.78,1.0,0.95,0.95,0.93,0.49,0.91,0.3,0.67,0.47,0.95,0.83
clamav.csv,0.45,0.57,0.26,0.51,0.61,0.42,0.69,0.86,0.49,0.7,0.55,0.65,0.41,0.6,0.63,0.23,1.0,0.6,0.35,0.62
crux-framework.csv,0.28,0.23,0.24,0.23,0.23,0.71,0.12,0.57,0.16,0.25,0.8,0.82,0.19,0.39,0.85,0.04,1.0,0.18,0.2,0.21
gnupdate.csv,0.55,0.69,0.2,0.77,0.75,0.88,0.38,0.2,0.9,0.5,0.8,0.51,0.76,0.46,0.17,0.49,0.67,0.47,0.75,1.0
jmule.csv,0.61,0.75,0.64,0.83,0.68,0.5,0.81,0.95,0.9,0.45,0.85,0.52,0.73,0.71,1.0,0.54,1.0,0.85,0.75,0.92
mbse.csv,0.45,0.61,0.18,0.22,0.73,0.46,0.56,0.6,0.8,0.7,0.5,0.79,0.83,0.56,0.48,0.18,0.67,0.69,0.5,0.96
mplayer-ce.csv,0.76,0.92,0.76,0.86,0.89,0.33,0.94,0.43,0.88,0.2,0.8,0.74,0.51,0.83,0.55,0.8,1.0,0.99,0.75,0.75
ng4j.csv,0.22,0.39,0.36,0.8,0.36,0.04,0.19,0.28,0.47,0.5,0.5,0.58,0.41,0.4,0.33,0.59,0.67,0.17,0.75,0.29
ns-3-dev-def-routing.csv,0.38,0.3,0.68,0.65,0.8,0.67,0.38,1.0,0.43,0.45,0.65,0.55,0.59,0.59,0.91,0.52,0.67,0.58,0.6,0.04
openxava.csv,0.42,0.49,0.14,0.06,0.09,0.38,0.69,0.54,0.31,0.85,0.3,0.58,0.48,0.33,0.32,0.11,0.67,0.25,0.45,0.88
phonon-vlc-mplayer.csv,0.36,0.64,0.7,0.78,0.5,0.17,0.62,1.0,0.65,0.5,0.85,0.52,0.79,0.65,0.74,0.41,1.0,0.52,0.65,0.21
qgis.csv,0.42,0.61,0.3,0.86,0.41,0.04,0.81,0.0,0.71,0.15,0.0,0.0,0.6,0.61,0.02,0.7,0.67,0.57,0.5,0.0
vars-redux.csv,0.66,0.58,0.64,0.48,0.57,0.33,0.94,0.97,0.71,0.8,0.5,0.6,0.47,0.55,0.81,0.37,0.67,0.53,0.6,0.71
xamj.csv,0.95,0.86,0.94,0.39,0.77,0.88,0.56,0.98,0.84,0.95,0.3,0.8,0.71,0.8,0.51,0.49,1.0,0.69,0.85,1.0
yafdotnet.csv,0.64,0.57,0.12,0.45,0.64,0.42,0.56,0.62,0.92,0.25,0.45,0.4,0.73,0.59,0.33,0.25,1.0,0.58,0.5,0.96
