,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.34,0.1,0.8,0.4,0.41,0.17,0.06,0.38,0.97,0.31,0.3,0.44,0.12
ctrlr.csv,0.23,0.0,0.79,0.17,0.4,0.13,0.48,0.2,0.97,0.03,0.19,0.5,0.12
dvt.csv,0.31,0.09,0.9,0.47,0.31,0.17,0.32,0.34,0.98,0.15,0.29,0.67,0.05
flylinkdc.csv,0.54,0.08,0.82,0.28,0.44,0.11,0.22,0.44,0.43,0.19,0.25,0.4,0.13
free-evolution.csv,0.28,0.09,0.83,0.31,0.42,0.17,0.39,0.32,0.96,0.19,0.32,0.61,0.19
fulguro.csv,0.0,1.0,0.81,0.0,0.0,0.12,0.12,0.43,0.0,0.15,0.22,0.51,0.23
fw4spl.csv,0.33,0.14,0.82,0.2,0.29,0.26,0.28,0.38,0.91,0.17,0.41,0.69,0.13
ipfire-wall.csv,0.35,0.11,0.76,0.33,0.25,0.16,0.15,0.58,0.0,0.28,0.36,0.58,0.17
ldview.csv,0.26,0.09,0.8,0.24,0.55,0.14,0.3,0.33,0.96,0.2,0.24,0.5,0.15
nuttx.csv,0.37,0.05,0.89,0.42,0.4,0.2,0.33,0.18,0.96,0.16,0.29,0.76,0.07
uclmda.csv,0.18,0.0,0.78,0.36,0.27,0.11,0.38,0.19,1.0,0.11,0.28,0.67,0.1
vdsf.csv,0.24,0.13,0.79,0.28,0.37,0.09,0.21,0.38,0.86,0.11,0.21,0.47,0.24
xcf.csv,0.32,0.15,0.82,0.39,0.52,0.18,0.34,0.43,0.88,0.07,0.24,0.74,0.16
