,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.37,0.15,0.41,0.43,0.46,0.27,0.05,0.45,0.95,0.41,0.39,0.2,0.17
ctrlr.csv,0.28,0.0,0.18,0.22,0.33,0.08,0.59,0.18,0.75,0.05,0.2,0.48,0.2
dvt.csv,0.46,0.16,0.51,0.57,0.43,0.23,0.46,0.48,0.99,0.25,0.38,0.53,0.09
flylinkdc.csv,0.62,0.14,0.81,0.42,0.41,0.18,0.32,0.51,0.04,0.28,0.32,0.46,0.23
free-evolution.csv,0.44,0.16,0.9,0.38,0.54,0.28,0.48,0.43,0.98,0.31,0.42,0.66,0.3
fulguro.csv,0.0,0.02,0.7,0.0,0.0,0.2,0.15,0.57,0.0,0.24,0.34,0.65,0.34
fw4spl.csv,0.41,0.2,0.41,0.18,0.26,0.36,0.34,0.47,0.11,0.27,0.47,0.46,0.21
ipfire-wall.csv,0.39,0.19,0.51,0.29,0.08,0.21,0.17,0.67,0.0,0.24,0.21,0.5,0.25
ldview.csv,0.4,0.16,0.67,0.35,0.65,0.24,0.19,0.49,0.86,0.18,0.35,0.6,0.26
nuttx.csv,0.46,0.04,0.78,0.47,0.52,0.25,0.39,0.22,0.78,0.27,0.42,0.67,0.11
uclmda.csv,0.19,0.0,0.28,0.18,0.31,0.17,0.29,0.18,0.99,0.16,0.28,0.36,0.1
vdsf.csv,0.35,0.19,0.79,0.41,0.46,0.14,0.31,0.55,0.26,0.18,0.33,0.53,0.35
xcf.csv,0.45,0.24,0.6,0.44,0.55,0.26,0.43,0.6,0.34,0.1,0.24,0.76,0.26
