,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.45,0.45,0.88,0.28,0.55,0.36,0.53,0.9,0.39,0.48,0.36,0.44,0.44
avisynth2.csv,0.91,0.83,0.0,0.8,0.75,0.92,0.91,0.0,0.8,0.9,0.67,0.0,0.88
beast-mcmc.csv,0.55,0.38,0.47,0.34,0.91,0.35,0.5,0.47,0.44,0.59,0.56,0.42,0.66
dataobjectsdotnet.csv,0.72,0.48,0.48,0.82,0.95,0.43,0.5,0.54,0.5,0.63,0.49,0.46,0.79
exist.csv,0.38,0.43,0.46,0.32,0.36,0.43,0.34,0.31,0.41,0.43,0.37,0.44,0.39
foursquared.csv,0.93,0.88,0.81,0.67,0.67,0.97,0.93,0.48,0.71,0.89,0.94,0.53,0.83
jaxlib.csv,0.8,0.64,0.55,0.8,0.4,0.97,0.38,0.4,0.91,0.85,0.45,0.5,0.46
jrefactory.csv,0.43,0.49,0.55,0.48,0.34,0.96,0.4,0.36,0.89,0.67,0.49,0.51,0.44
nodal.csv,0.67,0.54,0.61,0.4,0.7,0.44,0.44,0.57,0.69,0.68,0.91,0.78,0.43
opendvr.csv,0.5,0.59,0.96,0.31,0.82,0.44,0.45,0.5,0.42,0.49,0.74,0.81,0.96
pokenetonline.csv,0.33,0.37,0.47,0.29,0.38,0.34,0.39,0.31,0.4,0.4,0.33,0.45,0.37
simplewebservices.csv,0.4,0.56,0.47,0.3,0.39,0.35,0.42,0.41,0.41,0.44,0.44,0.43,0.42
uface.csv,0.38,0.41,0.47,0.29,0.42,0.34,0.35,0.31,0.4,0.41,0.32,0.46,0.37
