,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.2,0.49,0.26,1.0,0.33,0.47,0.49,0.15,0.1,0.45
ffigo.csv,0.47,0.58,0.64,0.59,0.37,0.49,0.49,0.0,0.99,0.39
foursquared.csv,0.17,0.46,0.47,0.4,0.93,0.61,0.46,0.0,0.47,0.35
gebr.csv,0.61,0.6,0.91,0.54,0.68,0.72,0.6,0.72,0.68,0.66
ildjit.csv,0.94,0.15,0.07,0.0,0.1,0.04,0.09,0.29,0.05,0.06
jfreereport.csv,0.69,0.9,0.12,0.28,0.1,0.17,0.33,0.72,0.46,0.33
kml.csv,0.2,0.63,0.43,0.62,0.66,1.0,0.61,0.14,0.62,0.58
ng4j.csv,0.09,0.59,0.51,0.59,0.78,0.64,0.0,0.29,0.41,1.0
pcsx2.csv,0.26,0.46,0.6,0.12,0.34,0.68,1.0,0.0,0.33,0.34
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
