,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.37,0.16,0.0,0.0,0.24,0.08,0.28,0.12,0.02,0.19
ffigo.csv,0.74,0.66,0.39,0.43,0.22,0.82,0.81,0.23,0.0,0.32
foursquared.csv,0.19,0.23,0.05,0.13,0.0,0.1,0.24,0.18,0.16,0.05
gebr.csv,0.7,0.73,0.11,0.8,0.7,0.59,0.7,0.59,0.57,0.68
ildjit.csv,0.02,0.07,0.03,0.04,0.11,0.03,0.08,0.04,0.05,0.02
jfreereport.csv,0.41,0.0,0.97,0.46,0.2,0.95,0.7,0.59,0.66,0.47
kml.csv,0.46,0.41,0.08,0.46,0.67,0.0,0.35,0.28,0.34,0.27
ng4j.csv,0.04,0.46,0.11,0.46,0.46,0.21,0.02,0.32,0.39,0.0
pcsx2.csv,0.64,0.22,0.16,0.04,0.09,0.26,0.02,0.03,0.05,0.17
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
