,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.12,0.3,1.0,1.0,0.39,0.83,0.76,0.08,0.86,0.42
ffigo.csv,0.19,0.14,0.81,0.38,0.44,0.49,0.66,0.0,1.0,0.27
foursquared.csv,0.18,0.22,0.95,0.54,1.0,0.83,0.78,0.0,0.82,0.67
gebr.csv,0.26,0.15,0.96,0.34,0.43,0.58,0.68,0.12,0.71,0.31
ildjit.csv,0.93,0.2,0.86,0.0,0.29,0.5,0.63,0.33,0.6,0.5
jfreereport.csv,0.34,0.99,0.61,0.19,0.18,0.3,0.48,0.12,0.57,0.18
kml.csv,0.1,0.19,0.92,0.38,0.4,1.0,0.77,0.04,0.75,0.41
ng4j.csv,0.33,0.17,0.92,0.36,0.5,0.73,0.0,0.06,0.63,1.0
pcsx2.csv,0.1,0.23,0.9,0.5,0.64,0.71,0.99,0.0,0.91,0.38
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
