,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,5.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0
ffigo.csv,10.0,2.0,0.0,5.0,1.0,3.0,0.0,97.0,0.0,5.0
foursquared.csv,6.0,4.0,0.0,0.0,0.0,1.0,1.0,97.0,1.0,1.0
gebr.csv,2.0,2.0,0.0,7.0,2.0,2.0,0.0,20.0,0.0,11.0
ildjit.csv,0.0,4.0,0.0,65.0,1.0,1.0,2.0,3.0,1.0,0.0
jfreereport.csv,9.0,0.0,0.0,7.0,7.0,3.0,0.0,37.0,2.0,0.0
kml.csv,8.0,0.0,3.0,5.0,10.0,0.0,0.0,16.0,3.0,5.0
ng4j.csv,2.0,33.0,0.0,3.0,5.0,1.0,271.0,15.0,1.0,0.0
pcsx2.csv,9.0,6.0,0.0,1.0,1.0,2.0,0.0,97.0,0.0,4.0
wxjs.csv,125.0,1341.0,135.0,65.0,69.0,74.0,271.0,0.0,119.0,78.0
