,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.17,0.44,0.22,1.0,0.29,0.42,0.45,0.12,0.08,0.4
ffigo.csv,0.59,0.71,0.65,0.6,0.33,0.86,0.82,0.0,0.99,0.35
foursquared.csv,0.14,0.42,0.42,0.35,0.92,0.56,0.42,0.0,0.42,0.3
gebr.csv,0.83,0.87,0.92,0.95,1.0,0.89,0.79,0.88,0.8,0.9
ildjit.csv,0.93,0.12,0.06,0.0,0.08,0.03,0.07,0.25,0.04,0.05
jfreereport.csv,0.72,0.88,0.58,0.25,0.08,0.44,0.34,0.88,0.5,0.3
kml.csv,0.17,0.64,0.38,0.65,0.88,1.0,0.6,0.12,0.61,0.55
ng4j.csv,0.07,0.61,0.46,0.6,0.88,0.61,0.0,0.25,0.38,1.0
pcsx2.csv,0.24,0.42,0.56,0.1,0.29,0.67,1.0,0.0,0.28,0.3
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
