,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.68,0.78,0.68,0.65,0.67,0.61,0.52,0.92,0.86,0.68
ffigo.csv,0.49,0.47,0.47,0.59,0.78,0.43,0.45,0.81,0.45,0.62
foursquared.csv,0.77,0.7,0.51,0.69,0.64,0.58,0.56,0.94,0.56,0.89
gebr.csv,0.42,0.4,0.47,0.39,0.36,0.36,0.43,0.43,0.4,0.47
ildjit.csv,0.86,0.99,0.86,0.5,0.86,0.5,0.95,0.83,0.8,0.5
jfreereport.csv,0.7,0.99,0.65,0.69,0.91,0.51,0.76,0.6,0.6,0.62
kml.csv,0.56,0.48,0.57,0.5,0.35,0.44,0.45,0.69,0.43,0.59
ng4j.csv,0.83,0.53,0.55,0.45,0.38,0.53,0.5,0.61,0.54,0.8
pcsx2.csv,0.55,0.64,0.49,0.75,0.91,0.56,0.49,0.67,0.74,0.81
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0
